entry,exit,dir,entry_px,exit_px,pnl_pips,r,reason
2024-04-05 14:00:00,2024-04-05 15:00:00,LONG,1.08038,1.08324,28.6,3.0,tp
2024-04-08 12:00:00,2024-04-08 13:00:00,LONG,1.0826,1.08488,22.7,3.0,tp
2024-04-11 14:00:00,2024-04-11 15:00:00,LONG,1.07354,1.07248,-10.6,-1.0,sl
2024-04-11 21:00:00,2024-04-12 04:00:00,LONG,1.07285,1.07182,-10.2,-1.0,sl
2024-04-15 12:00:00,2024-04-15 13:00:00,LONG,1.06576,1.06496,-7.9,-1.0,sl
2024-04-18 13:00:00,2024-04-18 14:00:00,LONG,1.06655,1.06556,-9.9,-1.0,sl
2024-04-22 11:00:00,2024-04-22 12:00:00,LONG,1.0653,1.06432,-9.9,-1.0,sl
2024-05-01 12:00:00,2024-05-01 18:00:00,LONG,1.06746,1.06909,16.2,2.5,tp
2024-05-08 20:00:00,2024-05-08 21:00:00,LONG,1.07481,1.07566,8.6,1.44,trail
2024-05-09 08:00:00,2024-05-09 09:00:00,LONG,1.07388,1.07334,-5.4,-1.0,sl
2024-05-13 09:00:00,2024-05-13 10:00:00,LONG,1.07875,1.07817,-5.8,-1.0,sl
2024-05-14 11:00:00,2024-05-14 12:00:00,LONG,1.08003,1.08095,9.2,1.87,trail
2024-05-17 08:00:00,2024-05-17 09:00:00,LONG,1.08625,1.08569,-5.6,-1.0,sl
2024-05-20 10:00:00,2024-05-20 11:00:00,LONG,1.08719,1.08665,-5.5,-1.0,sl
2024-05-21 10:00:00,2024-05-21 11:00:00,LONG,1.08755,1.08705,-5.0,-1.0,sl
2024-05-27 10:00:00,2024-05-27 11:00:00,LONG,1.08696,1.08643,-5.2,-1.0,sl
2024-06-05 14:00:00,2024-06-05 15:00:00,LONG,1.08849,1.08777,-7.3,-1.0,sl
2024-06-07 13:00:00,2024-06-07 14:00:00,LONG,1.08342,1.0822,-12.3,-1.0,sl
2024-06-13 13:00:00,2024-06-13 14:00:00,LONG,1.07968,1.07871,-9.7,-1.0,sl
2024-06-18 12:00:00,2024-06-18 13:00:00,LONG,1.07193,1.07377,18.4,3.0,tp
2024-06-19 11:00:00,2024-06-19 12:00:00,LONG,1.07527,1.07459,-6.8,-1.0,sl
2024-06-25 08:00:00,2024-06-25 11:00:00,LONG,1.07285,1.07217,-6.7,-1.0,sl
2024-06-25 18:00:00,2024-06-26 07:00:00,SHORT,1.0717,1.06912,25.7,3.0,tp
2024-07-02 10:00:00,2024-07-02 11:00:00,SHORT,1.07135,1.07209,-7.4,-1.0,sl
2024-07-05 08:00:00,2024-07-05 11:00:00,LONG,1.08295,1.08247,-4.8,-1.0,sl
2024-07-08 08:00:00,2024-07-08 10:00:00,LONG,1.08401,1.08326,-7.5,-1.0,sl
2024-07-09 09:00:00,2024-07-09 11:00:00,LONG,1.0826,1.08203,-5.8,-1.0,sl
2024-07-10 10:00:00,2024-07-10 11:00:00,LONG,1.08213,1.08269,5.6,1.06,trail
2024-07-19 19:00:00,2024-07-21 23:00:00,LONG,1.08826,1.09038,21.2,3.0,tp
2024-07-24 09:00:00,2024-07-24 12:00:00,LONG,1.08378,1.08569,19.1,2.5,tp
2024-07-26 12:00:00,2024-07-26 14:00:00,LONG,1.08648,1.08573,-7.5,-1.0,sl
2024-07-29 10:00:00,2024-07-29 11:00:00,LONG,1.08401,1.08318,-8.3,-1.0,sl
2024-08-02 20:00:00,2024-08-05 03:00:00,SHORT,1.09158,1.09288,-13.0,-1.0,sl
2024-08-06 14:00:00,2024-08-06 15:00:00,SHORT,1.09206,1.0934,-13.4,-1.0,sl
2024-08-08 14:00:00,2024-08-08 15:00:00,SHORT,1.08968,1.09084,-11.6,-1.0,sl
2024-08-14 19:00:00,2024-08-15 12:00:00,SHORT,1.10181,1.09928,25.3,2.5,tp
2024-08-22 09:00:00,2024-08-22 14:00:00,SHORT,1.11433,1.1112,31.3,3.0,tp
2024-08-30 16:00:00,2024-08-30 17:00:00,LONG,1.10632,1.10529,-10.3,-1.0,sl
2024-09-05 09:00:00,2024-09-05 11:00:00,SHORT,1.11,1.11072,-7.2,-1.0,sl
2024-09-05 14:00:00,2024-09-05 16:00:00,SHORT,1.10939,1.1103,-9.2,-1.0,sl
2024-09-12 19:00:00,2024-09-13 00:00:00,LONG,1.10644,1.10901,25.7,2.5,tp
2024-09-13 13:00:00,2024-09-13 15:00:00,LONG,1.10963,1.10869,-9.4,-1.0,sl
2024-09-18 20:00:00,2024-09-19 00:00:00,LONG,1.11086,1.10944,-14.2,-1.0,sl
2024-09-20 15:00:00,2024-09-20 16:00:00,LONG,1.11458,1.11711,25.3,2.5,tp
2024-09-23 09:00:00,2024-09-23 11:00:00,LONG,1.10975,1.11242,26.7,2.5,tp
2024-09-25 16:00:00,2024-09-25 17:00:00,LONG,1.11458,1.11349,-10.9,-1.0,sl
2024-09-27 08:00:00,2024-09-27 09:00:00,LONG,1.11346,1.11619,27.3,2.5,tp
2024-10-04 13:00:00,2024-10-04 16:00:00,LONG,1.09649,1.09541,-10.8,-1.0,sl
2024-10-07 10:00:00,2024-10-07 12:00:00,LONG,1.09637,1.0984,20.2,2.5,tp
2024-10-16 11:00:00,2024-10-16 12:00:00,SHORT,1.08932,1.09007,-7.5,-1.0,sl
2024-10-18 09:00:00,2024-10-18 10:00:00,SHORT,1.08401,1.08481,-8.0,-1.0,sl
2024-10-23 19:00:00,2024-10-24 04:00:00,SHORT,1.07828,1.07923,-9.5,-1.0,sl
2024-10-29 13:00:00,2024-10-29 14:00:00,LONG,1.07782,1.07983,20.2,2.5,tp
2024-11-01 18:00:00,2024-11-04 00:00:00,LONG,1.08401,1.08666,26.5,2.5,tp
2024-11-08 10:00:00,2024-11-08 11:00:00,SHORT,1.07817,1.07958,-14.1,-1.0,sl
2024-11-15 19:00:00,2024-11-15 20:00:00,SHORT,1.0553,1.05276,25.3,1.85,trail
2024-11-21 10:00:00,2024-11-21 11:00:00,SHORT,1.05197,1.05296,-10.0,-1.0,sl
2024-11-21 16:00:00,2024-11-21 17:00:00,SHORT,1.0513,1.04718,41.3,3.41,trail
2024-11-28 10:00:00,2024-11-28 11:00:00,SHORT,1.05341,1.05464,-12.4,-1.0,sl
2024-11-29 08:00:00,2024-11-29 09:00:00,SHORT,1.0582,1.05601,22.0,2.26,trail
2024-12-02 13:00:00,2024-12-02 14:00:00,LONG,1.05075,1.04939,-13.6,-1.0,sl
2024-12-04 14:00:00,2024-12-04 15:00:00,SHORT,1.04866,1.04992,-12.7,-1.0,sl
2024-12-06 18:00:00,2024-12-06 21:00:00,SHORT,1.05574,1.05711,-13.7,-1.0,sl
2024-12-12 18:00:00,2024-12-12 19:00:00,LONG,1.05042,1.04874,-16.8,-1.0,sl
2024-12-16 08:00:00,2024-12-16 09:00:00,SHORT,1.05075,1.05167,-9.1,-1.0,sl
2024-12-20 18:00:00,2024-12-20 19:00:00,SHORT,1.04308,1.0445,-14.2,-1.0,sl
2024-12-23 11:00:00,2024-12-23 14:00:00,SHORT,1.0395,1.0406,-11.0,-1.0,sl
2024-12-24 20:00:00,2024-12-25 00:00:00,SHORT,1.03983,1.04082,-10.0,-1.0,sl
2024-12-26 10:00:00,2024-12-26 13:00:00,SHORT,1.04004,1.04076,-7.2,-1.0,sl
2024-12-31 14:00:00,2024-12-31 15:00:00,LONG,1.03972,1.03851,-12.1,-1.0,sl
2024-12-31 18:00:00,2025-01-02 10:00:00,LONG,1.03498,1.03362,-13.6,-1.0,sl
2025-01-03 12:00:00,2025-01-06 01:00:00,SHORT,1.03008,1.03137,-12.9,-1.0,sl
2025-01-07 10:00:00,2025-01-07 15:00:00,SHORT,1.04275,1.03904,37.1,2.5,tp
2025-01-15 14:00:00,2025-01-15 16:00:00,SHORT,1.03455,1.02999,45.6,3.0,tp
2025-01-17 11:00:00,2025-01-17 14:00:00,SHORT,1.03061,1.02743,31.8,3.0,tp
2025-01-20 14:00:00,2025-01-20 15:00:00,SHORT,1.03993,1.0416,-16.6,-1.0,sl
2025-01-20 21:00:00,2025-01-21 00:00:00,SHORT,1.04167,1.03686,48.1,2.64,trail
2025-01-24 17:00:00,2025-01-24 18:00:00,SHORT,1.05164,1.05045,11.9,0.86,trail
2025-01-27 14:00:00,2025-01-27 15:00:00,SHORT,1.05241,1.05029,21.2,1.64,trail
2025-01-31 16:00:00,2025-01-31 18:00:00,LONG,1.03993,1.03863,-13.0,-1.0,sl
2025-01-31 20:00:00,2025-01-31 21:00:00,LONG,1.03778,1.03617,-16.1,-1.0,sl
2025-02-03 12:00:00,2025-02-03 13:00:00,SHORT,1.02554,1.02751,-19.8,-1.0,sl
2025-02-06 15:00:00,2025-02-06 16:00:00,SHORT,1.03648,1.03744,-9.6,-1.0,sl
2025-02-12 18:00:00,2025-02-13 13:00:00,SHORT,1.04297,1.03832,46.5,2.5,tp
2025-02-20 17:00:00,2025-02-20 18:00:00,SHORT,1.04767,1.04872,-10.5,-1.0,sl
2025-02-20 21:00:00,2025-02-21 00:00:00,SHORT,1.05053,1.04974,7.9,0.74,trail
2025-02-24 08:00:00,2025-02-24 09:00:00,SHORT,1.04932,1.04781,15.1,1.31,trail
2025-02-25 16:00:00,2025-02-25 18:00:00,SHORT,1.05009,1.05128,-11.9,-1.0,sl
2025-02-26 17:00:00,2025-02-26 20:00:00,SHORT,1.05152,1.04848,30.5,2.5,tp
2025-03-03 13:00:00,2025-03-03 14:00:00,SHORT,1.04745,1.04886,-14.1,-1.0,sl
2025-03-05 15:00:00,2025-03-05 16:00:00,SHORT,1.07585,1.07798,-21.4,-1.0,sl
2025-03-05 20:00:00,2025-03-06 01:00:00,SHORT,1.07945,1.08151,-20.7,-1.0,sl
2025-03-13 14:00:00,2025-03-14 07:00:00,LONG,1.08519,1.08343,-17.6,-1.0,sl
2025-03-24 11:00:00,2025-03-24 12:00:00,LONG,1.08519,1.08402,-11.7,-1.0,sl
2025-03-27 12:00:00,2025-03-27 15:00:00,LONG,1.0791,1.08211,30.1,2.5,tp
2025-03-27 17:00:00,2025-03-28 06:00:00,LONG,1.08015,1.07886,-12.9,-1.0,sl
2025-04-03 16:00:00,2025-04-04 07:00:00,LONG,1.10534,1.10186,-34.8,-1.0,sl
2025-04-15 16:00:00,2025-04-16 05:00:00,LONG,1.12931,1.13629,69.8,3.0,tp
2025-04-17 13:00:00,2025-04-17 14:00:00,LONG,1.13688,1.13528,-16.0,-1.0,sl
2025-04-21 12:00:00,2025-04-21 13:00:00,LONG,1.15473,1.15291,-18.2,-1.0,sl
2025-04-22 18:00:00,2025-04-22 19:00:00,LONG,1.14521,1.14334,-18.7,-1.0,sl
2025-04-23 19:00:00,2025-04-24 01:00:00,LONG,1.1325,1.13478,22.8,0.95,trail
2025-04-28 09:00:00,2025-04-28 12:00:00,LONG,1.13469,1.13688,21.9,1.41,trail
