t,d,atr_m,rr,exit,trail_act,trail_dist,max_hold
2025.01.02 15:00,1,0.749569,3.0000,0,1.0000,0.5000,36
2025.01.02 19:00,1,0.749569,3.0000,0,1.0000,0.5000,36
2025.01.07 07:00,1,0.749569,3.0000,0,1.0000,0.5000,36
2025.01.07 15:00,1,0.749569,3.0000,0,1.0000,0.5000,36
2025.01.08 10:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.01.09 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.01.13 09:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.01.16 10:00,1,0.799647,2.5000,0,1.0000,0.5000,36
2025.01.17 10:00,1,0.799647,2.5000,0,1.0000,0.5000,36
2025.01.23 07:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.01.23 12:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.01.29 07:00,1,0.799909,2.0000,0,1.0000,0.5000,36
2025.01.30 10:00,1,0.799909,2.0000,0,1.0000,0.5000,36
2025.02.03 07:00,1,0.799909,2.0000,0,1.0000,0.5000,36
2025.02.03 18:00,1,0.799909,2.0000,0,1.0000,0.5000,36
2025.02.06 09:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.02.07 20:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.02.11 07:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.02.11 13:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.02.12 10:00,1,0.730364,3.0000,0,1.0000,0.5000,36
2025.02.12 14:00,1,0.730364,3.0000,0,1.0000,0.5000,36
2025.02.17 08:00,1,0.730364,3.0000,0,1.0000,0.5000,36
2025.02.20 12:00,1,0.745596,2.5000,0,1.0000,0.5000,36
2025.02.21 10:00,1,0.745596,2.5000,0,1.0000,0.5000,36
2025.02.28 19:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.04 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.13 13:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.17 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.18 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.21 07:00,1,0.738479,3.0000,0,1.0000,0.5000,36
2025.03.21 14:00,1,0.738479,3.0000,0,1.0000,0.5000,36
2025.03.24 14:00,1,0.738479,3.0000,0,1.0000,0.5000,36
2025.03.25 07:00,1,0.738479,3.0000,0,1.0000,0.5000,36
2025.03.26 12:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.03.28 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.04.04 07:00,1,0.872013,2.5000,0,1.0000,0.5000,36
2025.04.04 13:00,1,0.872013,2.5000,0,1.0000,0.5000,36
2025.04.08 07:00,1,0.872013,2.5000,0,1.0000,0.5000,36
2025.04.11 20:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.04.17 10:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.04.18 14:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.04.22 19:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.04.24 16:00,1,0.712853,3.0000,0,1.0000,0.5000,36
2025.04.24 20:00,1,0.712853,3.0000,0,1.0000,0.5000,36
2025.04.30 19:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.01 14:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.06 12:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.07 20:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.05.08 19:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.05.13 07:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.05.13 11:00,1,0.799909,2.5000,0,1.0000,0.5000,36
2025.05.16 14:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.21 20:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.22 09:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.27 07:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.05.28 19:00,1,0.704671,2.0000,0,1.0000,0.5000,36
2025.05.30 20:00,1,0.704671,2.0000,0,1.0000,0.5000,36
2025.06.03 09:00,1,0.704671,2.0000,0,1.0000,0.5000,36
2025.06.06 12:00,1,0.806654,3.0000,0,1.0000,0.5000,36
2025.06.06 16:00,1,0.806654,3.0000,0,1.0000,0.5000,36
2025.06.09 19:00,1,0.806654,3.0000,0,1.0000,0.5000,36
2025.06.17 11:00,1,0.756805,2.0000,1,1.0000,0.5000,36
2025.06.19 16:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.06.20 18:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.06.25 16:00,1,0.799909,3.0000,0,1.0000,0.5000,36
