entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-08 12:00:00,2025-01-08 16:00:00,SHORT,1.02967,1.03112,1.03104,1.02623,-14.5,-1.06,sl
2025-01-16 12:00:00,2025-01-16 13:00:00,LONG,1.02908,1.02768,1.02776,1.03237,-14.0,-1.06,sl
2025-01-20 08:00:00,2025-01-20 13:00:00,LONG,1.03175,1.03912,1.0392,1.03504,73.7,5.6,trail
2025-01-29 08:00:00,2025-01-29 09:00:00,LONG,1.04176,1.04068,1.04076,1.04426,-10.8,-1.08,sl
2025-01-31 16:00:00,2025-01-31 17:00:00,LONG,1.03972,1.0424,1.04248,1.04355,26.8,1.75,trail
2025-02-07 16:00:00,2025-02-07 17:00:00,LONG,1.03558,1.03354,1.03362,1.04146,-20.4,-1.04,sl
2025-02-17 13:00:00,2025-02-18 04:00:00,LONG,1.04731,1.04589,1.04597,1.05067,-14.2,-1.06,sl
2025-03-07 14:00:00,2025-03-07 15:00:00,SHORT,1.08436,1.08635,1.08627,1.07959,-19.9,-1.04,sl
2025-03-12 19:00:00,2025-03-13 07:00:00,LONG,1.08854,1.08645,1.08653,1.09358,-20.9,-1.04,sl
2025-03-20 11:00:00,2025-03-20 12:00:00,LONG,1.08463,1.08305,1.08313,1.08838,-15.8,-1.05,sl
2025-03-20 18:00:00,2025-03-21 04:00:00,LONG,1.08452,1.0829,1.08298,1.08838,-16.2,-1.05,sl
2025-03-24 15:00:00,2025-03-24 16:00:00,LONG,1.08002,1.07839,1.07847,1.08389,-16.3,-1.05,sl
2025-04-22 14:00:00,2025-04-22 16:00:00,LONG,1.14749,1.14533,1.14541,1.1527,-21.6,-1.04,sl
2025-04-22 18:00:00,2025-04-22 19:00:00,LONG,1.14509,1.14282,1.1429,1.15057,-22.7,-1.04,sl
2025-04-28 16:00:00,2025-04-30 01:00:00,LONG,1.13867,1.1362,1.13628,1.14465,-24.7,-1.03,sl
2025-05-06 14:00:00,2025-05-06 16:00:00,LONG,1.13539,1.13328,1.13336,1.14047,-21.1,-1.04,sl
