entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-06 09:00:00,2025-01-06 11:00:00,SHORT,1.03491,1.03625,1.03617,1.03175,-13.4,-1.06,sl
2025-01-06 14:00:00,2025-01-07 15:00:00,SHORT,1.0416,1.03592,1.0439,1.03584,56.8,2.47,tp
2025-01-15 14:00:00,2025-01-15 15:00:00,SHORT,1.03436,1.03004,1.03583,1.02996,43.2,2.95,tp
2025-01-16 15:00:00,2025-01-17 14:00:00,LONG,1.02799,1.02663,1.02671,1.03182,-13.6,-1.06,sl
2025-01-22 10:00:00,2025-01-23 02:00:00,SHORT,1.04456,1.04023,1.04632,1.04015,43.3,2.45,tp
2025-01-23 08:00:00,2025-01-23 15:00:00,LONG,1.04007,1.03888,1.03896,1.04285,-11.9,-1.07,sl
2025-01-31 19:00:00,2025-02-02 22:00:00,LONG,1.03704,1.03486,1.03494,1.04229,-21.8,-1.04,sl
2025-02-04 17:00:00,2025-02-05 07:00:00,SHORT,1.03774,1.03984,1.03976,1.03268,-21.0,-1.04,sl
2025-02-12 18:00:00,2025-02-13 18:00:00,SHORT,1.04252,1.03757,1.04453,1.03749,49.5,2.46,tp
2025-02-20 16:00:00,2025-02-20 17:00:00,SHORT,1.04728,1.04869,1.04861,1.04329,-14.1,-1.06,sl
2025-02-20 21:00:00,2025-02-21 12:00:00,SHORT,1.05018,1.0462,1.05153,1.04612,39.8,2.94,tp
2025-02-25 16:00:00,2025-02-25 18:00:00,SHORT,1.04975,1.05098,1.0509,1.04631,-12.3,-1.07,sl
2025-02-26 17:00:00,2025-02-27 00:00:00,SHORT,1.05125,1.04779,1.05243,1.04771,34.6,2.93,tp
2025-03-05 15:00:00,2025-03-05 20:00:00,SHORT,1.07676,1.07925,1.07917,1.06952,-24.9,-1.03,sl
2025-03-06 08:00:00,2025-03-06 13:00:00,SHORT,1.07981,1.08179,1.08171,1.0741,-19.8,-1.04,sl
2025-03-11 14:00:00,2025-03-11 18:00:00,SHORT,1.09187,1.09412,1.09404,1.08644,-22.5,-1.04,sl
2025-03-18 11:00:00,2025-03-18 12:00:00,SHORT,1.09335,1.08987,1.09454,1.08979,34.8,2.93,tp
2025-03-18 18:00:00,2025-03-19 07:00:00,SHORT,1.09491,1.09038,1.09645,1.0903,45.3,2.95,tp
2025-03-25 13:00:00,2025-03-25 23:00:00,SHORT,1.0824,1.07878,1.08363,1.0787,36.2,2.94,tp
2025-04-02 13:00:00,2025-04-02 14:00:00,SHORT,1.08181,1.08302,1.08294,1.07841,-12.1,-1.07,sl
2025-04-02 21:00:00,2025-04-02 23:00:00,SHORT,1.08374,1.08575,1.08567,1.07796,-20.1,-1.04,sl
2025-04-09 10:00:00,2025-04-09 12:00:00,SHORT,1.1043,1.10769,1.10761,1.09437,-33.9,-1.02,sl
