entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-06 14:00:00,2025-01-07 07:00:00,SHORT,1.25332,1.25588,1.2558,1.24711,-25.6,-1.03,sl
2025-01-08 15:00:00,2025-01-09 06:00:00,LONG,1.23274,1.22959,1.22967,1.24043,-31.5,-1.03,sl
2025-01-13 08:00:00,2025-01-13 16:00:00,SHORT,1.21371,1.2161,1.21602,1.20909,-23.9,-1.03,sl
2025-01-13 21:00:00,2025-01-13 22:00:00,SHORT,1.2175,1.21999,1.21991,1.21268,-24.9,-1.03,sl
2025-01-28 12:00:00,2025-01-29 12:00:00,LONG,1.24265,1.24241,1.24082,1.24814,-2.4,-0.13,timeout
2025-01-29 14:00:00,2025-01-29 17:00:00,LONG,1.23981,1.24455,1.2382,1.24463,47.4,2.95,tp
2025-02-05 12:00:00,2025-02-06 07:00:00,SHORT,1.25304,1.24824,1.25499,1.24816,48.0,2.46,tp
2025-02-06 10:00:00,2025-02-06 12:00:00,LONG,1.24257,1.24084,1.24092,1.2467,-17.3,-1.05,sl
2025-02-11 19:00:00,2025-02-11 20:00:00,SHORT,1.24233,1.24389,1.24381,1.23937,-15.6,-1.05,sl
2025-02-13 18:00:00,2025-02-13 19:00:00,SHORT,1.25207,1.25444,1.25436,1.24749,-23.7,-1.03,sl
2025-02-18 13:00:00,2025-02-18 22:00:00,LONG,1.25891,1.26259,1.25741,1.26267,36.8,2.45,tp
2025-02-19 17:00:00,2025-02-20 10:00:00,LONG,1.25718,1.26164,1.25537,1.26172,44.6,2.46,tp
2025-02-27 14:00:00,2025-02-27 17:00:00,LONG,1.2633,1.26139,1.26147,1.26696,-19.1,-1.04,sl
2025-03-05 15:00:00,2025-03-05 19:00:00,SHORT,1.28668,1.28908,1.289,1.27971,-24.0,-1.03,sl
2025-03-05 21:00:00,2025-03-06 07:00:00,SHORT,1.28991,1.29214,1.29206,1.28345,-22.3,-1.04,sl
2025-03-23 21:00:00,2025-03-23 22:00:00,SHORT,1.28954,1.29135,1.29127,1.28609,-18.1,-1.05,sl
2025-03-27 17:00:00,2025-03-28 17:00:00,SHORT,1.29561,1.29409,1.29766,1.29048,15.2,0.74,timeout
2025-04-04 20:00:00,2025-04-06 21:00:00,LONG,1.2874,1.28377,1.28385,1.29804,-36.3,-1.02,sl
2025-04-07 21:00:00,2025-04-08 21:00:00,LONG,1.27137,1.2759,1.26733,1.28146,45.3,1.12,timeout
2025-04-09 15:00:00,2025-04-10 00:00:00,LONG,1.27583,1.28429,1.27241,1.28437,84.6,2.48,tp
2025-04-16 10:00:00,2025-04-17 01:00:00,SHORT,1.32672,1.32037,1.32886,1.32029,63.5,2.96,tp
2025-04-21 08:00:00,2025-04-22 08:00:00,SHORT,1.34098,1.33878,1.34275,1.33566,22.0,1.24,timeout
2025-04-30 14:00:00,2025-05-01 01:00:00,LONG,1.33225,1.3305,1.33058,1.33642,-17.5,-1.05,sl
2025-05-08 21:00:00,2025-05-09 00:00:00,LONG,1.3245,1.32229,1.32237,1.3309,-22.1,-1.04,sl
2025-05-13 18:00:00,2025-05-13 20:00:00,SHORT,1.32985,1.33161,1.33153,1.32481,-17.6,-1.05,sl
2025-05-16 16:00:00,2025-05-18 22:00:00,LONG,1.32562,1.32986,1.32418,1.32994,42.4,2.94,tp
2025-05-27 21:00:00,2025-05-28 01:00:00,LONG,1.35043,1.34907,1.34915,1.35426,-13.6,-1.06,sl
2025-06-05 17:00:00,2025-06-06 07:00:00,SHORT,1.35852,1.35397,1.36006,1.35389,45.5,2.95,tp
2025-06-11 19:00:00,2025-06-11 22:00:00,SHORT,1.35463,1.35625,1.35617,1.35077,-16.2,-1.05,sl
2025-06-12 12:00:00,2025-06-12 13:00:00,SHORT,1.35914,1.36086,1.36078,1.35503,-17.2,-1.05,sl
2025-06-17 15:00:00,2025-06-17 16:00:00,LONG,1.35128,1.34971,1.34979,1.35575,-15.7,-1.05,sl
2025-06-17 21:00:00,2025-06-18 06:00:00,LONG,1.34102,1.34598,1.33934,1.34606,49.6,2.95,tp
2025-06-25 19:00:00,2025-06-25 23:00:00,SHORT,1.36617,1.36744,1.36736,1.36261,-12.7,-1.07,sl
2025-06-26 17:00:00,2025-06-27 14:00:00,SHORT,1.37536,1.37043,1.37703,1.37035,49.3,2.95,tp
2025-07-02 15:00:00,2025-07-02 21:00:00,LONG,1.3594,1.36456,1.35765,1.36464,51.6,2.95,tp
2025-07-07 08:00:00,2025-07-07 09:00:00,LONG,1.36048,1.35934,1.35942,1.36312,-11.4,-1.08,sl
2025-07-07 17:00:00,2025-07-08 00:00:00,LONG,1.35957,1.36302,1.35816,1.3631,34.5,2.44,tp
2025-07-18 12:00:00,2025-07-18 13:00:00,SHORT,1.34562,1.34673,1.34665,1.34254,-11.1,-1.08,sl
2025-07-23 21:00:00,2025-07-23 22:00:00,SHORT,1.35751,1.35863,1.35855,1.3544,-11.2,-1.08,sl
2025-08-01 13:00:00,2025-08-01 17:00:00,SHORT,1.32833,1.32172,1.33056,1.32164,66.1,2.96,tp
2025-08-07 17:00:00,2025-08-07 19:00:00,SHORT,1.34287,1.34436,1.34428,1.33865,-14.9,-1.06,sl
2025-08-07 21:00:00,2025-08-08 17:00:00,SHORT,1.34399,1.3455,1.34542,1.33971,-15.1,-1.06,sl
2025-08-14 11:00:00,2025-08-14 12:00:00,SHORT,1.35797,1.35485,1.35904,1.35477,31.2,2.92,tp
2025-08-25 13:00:00,2025-08-25 17:00:00,SHORT,1.35036,1.3478,1.35142,1.34772,25.6,2.42,tp
2025-08-28 11:00:00,2025-08-28 13:00:00,SHORT,1.352,1.34973,1.35294,1.34965,22.7,2.41,tp
2025-09-01 21:00:00,2025-09-02 05:00:00,SHORT,1.35413,1.35208,1.35498,1.352,20.5,2.41,tp
2025-09-03 15:00:00,2025-09-03 16:00:00,SHORT,1.34323,1.34502,1.34494,1.33897,-17.9,-1.05,sl
2025-09-09 11:00:00,2025-09-09 14:00:00,SHORT,1.35762,1.35438,1.35873,1.3543,32.4,2.93,tp
2025-09-11 16:00:00,2025-09-11 17:00:00,SHORT,1.35651,1.3579,1.35782,1.35257,-13.9,-1.06,sl
2025-09-16 19:00:00,2025-09-17 06:00:00,SHORT,1.36582,1.36383,1.36685,1.36375,19.9,1.92,tp
2025-09-17 17:00:00,2025-09-17 18:00:00,SHORT,1.36641,1.36737,1.36729,1.36464,-9.6,-1.09,sl
2025-09-22 13:00:00,2025-09-22 16:00:00,SHORT,1.35073,1.35189,1.35181,1.3475,-11.6,-1.07,sl
2025-10-02 16:00:00,2025-10-03 07:00:00,LONG,1.34218,1.34593,1.3409,1.34601,37.5,2.94,tp
2025-10-10 16:00:00,2025-10-10 20:00:00,SHORT,1.33413,1.33592,1.33584,1.329,-17.9,-1.05,sl
2025-10-14 08:00:00,2025-10-14 14:00:00,LONG,1.32573,1.33001,1.32428,1.33009,42.8,2.94,tp
2025-10-22 08:00:00,2025-10-22 10:00:00,LONG,1.33226,1.33097,1.33105,1.33589,-12.9,-1.07,sl
2025-10-23 15:00:00,2025-10-23 17:00:00,LONG,1.33227,1.33108,1.33116,1.3356,-11.9,-1.07,sl
2025-10-28 14:00:00,2025-10-29 05:00:00,LONG,1.32565,1.32392,1.324,1.32978,-17.3,-1.05,sl
2025-10-31 09:00:00,2025-10-31 12:00:00,SHORT,1.31398,1.31067,1.31534,1.31059,33.1,2.44,tp
2025-11-04 16:00:00,2025-11-04 17:00:00,LONG,1.3047,1.30318,1.30326,1.30901,-15.2,-1.06,sl
