entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 07:00:00,2026-01-05 08:15:00,SHORT,1.16891,1.16941,1.16933,1.16764,-5.0,-1.19,sl
2026-01-05 16:00:00,2026-01-05 16:15:00,SHORT,1.17028,1.17107,1.17099,1.16814,-7.9,-1.11,sl
2026-01-07 14:00:00,2026-01-07 14:45:00,SHORT,1.16897,1.16956,1.16948,1.16745,-5.9,-1.16,sl
2026-01-08 11:00:00,2026-01-08 13:30:00,SHORT,1.16783,1.16674,1.16822,1.16666,10.9,2.8,tp
2026-01-09 13:45:00,2026-01-09 14:15:00,SHORT,1.16547,1.16379,1.16606,1.16371,16.8,2.86,tp
2026-01-12 13:00:00,2026-01-12 14:15:00,LONG,1.16812,1.16736,1.16744,1.17016,-7.6,-1.12,sl
2026-01-13 10:15:00,2026-01-13 12:45:00,SHORT,1.167,1.1656,1.16749,1.16552,14.0,2.84,tp
2026-01-14 10:45:00,2026-01-14 12:45:00,SHORT,1.16526,1.16578,1.1657,1.16395,-5.2,-1.18,sl
2026-01-14 14:45:00,2026-01-14 18:45:00,SHORT,1.16575,1.16393,1.16638,1.16385,18.2,2.87,tp
2026-01-15 11:15:00,2026-01-15 12:45:00,SHORT,1.16358,1.16234,1.16402,1.16226,12.4,2.82,tp
2026-01-16 07:45:00,2026-01-16 10:30:00,SHORT,1.16115,1.1616,1.16152,1.16003,-4.5,-1.22,sl
2026-01-16 12:00:00,2026-01-16 15:00:00,SHORT,1.16175,1.16226,1.16218,1.16046,-5.1,-1.19,sl
2026-01-21 07:30:00,2026-01-21 08:30:00,SHORT,1.1722,1.17061,1.17276,1.17053,15.9,2.86,tp
2026-01-21 12:00:00,2026-01-21 12:15:00,SHORT,1.17125,1.17197,1.17189,1.16932,-7.2,-1.12,sl
2026-01-22 13:00:00,2026-01-22 13:15:00,SHORT,1.1702,1.17086,1.17078,1.16845,-6.6,-1.14,sl
2026-01-23 13:00:00,2026-01-23 13:15:00,SHORT,1.17405,1.17466,1.17458,1.17247,-6.1,-1.15,sl
2026-01-26 09:45:00,2026-01-26 12:45:00,SHORT,1.1865,1.18422,1.18744,1.18414,22.8,2.42,tp
2026-01-27 10:00:00,2026-01-27 11:45:00,SHORT,1.18872,1.18948,1.1894,1.18701,-7.6,-1.12,sl
2026-01-28 07:15:00,2026-01-28 07:30:00,SHORT,1.20194,1.19971,1.20287,1.19963,22.3,2.41,tp
2026-01-29 07:15:00,2026-01-29 08:30:00,SHORT,1.19835,1.19668,1.19905,1.1966,16.7,2.39,tp
2026-01-29 14:15:00,2026-01-29 15:15:00,SHORT,1.19629,1.194,1.19724,1.19392,22.9,2.42,tp
2026-01-30 08:00:00,2026-01-30 09:45:00,SHORT,1.19364,1.1913,1.19461,1.19122,23.4,2.42,tp
2026-01-30 12:00:00,2026-01-30 12:45:00,SHORT,1.19471,1.19238,1.19567,1.1923,23.3,2.42,tp
2026-02-02 10:15:00,2026-02-02 13:00:00,SHORT,1.1867,1.18414,1.18758,1.18406,25.6,2.91,tp
2026-02-03 07:45:00,2026-02-03 08:15:00,SHORT,1.18197,1.18057,1.18246,1.18049,14.0,2.84,tp
2026-02-03 15:45:00,2026-02-03 16:00:00,SHORT,1.18049,1.18135,1.18127,1.17816,-8.6,-1.1,sl
2026-02-04 06:15:00,2026-02-04 09:30:00,SHORT,1.18339,1.18222,1.18381,1.18214,11.7,2.81,tp
2026-02-04 14:00:00,2026-02-04 14:30:00,SHORT,1.18207,1.18026,1.1827,1.18018,18.1,2.87,tp
2026-02-05 07:15:00,2026-02-05 07:30:00,SHORT,1.17948,1.18002,1.17994,1.1781,-5.4,-1.17,sl
2026-02-05 14:30:00,2026-02-05 20:45:00,SHORT,1.18056,1.17811,1.1814,1.17803,24.5,2.91,tp
2026-02-06 13:30:00,2026-02-06 13:45:00,SHORT,1.17995,1.1805,1.18042,1.17853,-5.5,-1.17,sl
2026-02-09 06:30:00,2026-02-09 06:45:00,SHORT,1.1846,1.18522,1.18514,1.18299,-6.2,-1.15,sl
2026-02-09 12:00:00,2026-02-09 12:15:00,SHORT,1.18675,1.18747,1.18739,1.18482,-7.2,-1.12,sl
2026-02-10 08:45:00,2026-02-10 09:00:00,SHORT,1.1912,1.19183,1.19175,1.18956,-6.3,-1.15,sl
2026-02-10 14:15:00,2026-02-10 14:30:00,SHORT,1.19138,1.19212,1.19204,1.18939,-7.4,-1.12,sl
2026-02-11 10:45:00,2026-02-11 11:30:00,SHORT,1.19215,1.1909,1.19259,1.19082,12.5,2.82,tp
2026-02-12 09:00:00,2026-02-12 09:15:00,SHORT,1.18782,1.18849,1.18841,1.18605,-6.7,-1.14,sl
2026-02-12 15:15:00,2026-02-12 16:15:00,SHORT,1.18836,1.18653,1.189,1.18645,18.3,2.87,tp
2026-02-13 14:00:00,2026-02-13 15:45:00,SHORT,1.18723,1.18525,1.18792,1.18517,19.8,2.88,tp
2026-02-16 06:45:00,2026-02-16 08:15:00,SHORT,1.18684,1.18586,1.18719,1.18578,9.8,2.77,tp
2026-02-16 11:00:00,2026-02-16 12:45:00,SHORT,1.18651,1.18525,1.18696,1.18517,12.6,2.82,tp
2026-02-17 06:45:00,2026-02-17 07:15:00,SHORT,1.18436,1.1835,1.18467,1.18342,8.6,2.75,tp
2026-02-18 07:00:00,2026-02-18 07:30:00,SHORT,1.18427,1.18343,1.18458,1.18335,8.4,2.74,tp
2026-02-18 12:30:00,2026-02-18 13:00:00,SHORT,1.18405,1.18461,1.18453,1.1826,-5.6,-1.17,sl
2026-02-19 08:45:00,2026-02-19 10:45:00,SHORT,1.18017,1.17884,1.18064,1.17876,13.3,2.83,tp
2026-02-19 16:00:00,2026-02-19 18:30:00,SHORT,1.17614,1.17723,1.17715,1.17312,-10.9,-1.08,sl
2026-02-20 07:15:00,2026-02-20 08:00:00,SHORT,1.17597,1.17475,1.1764,1.17467,12.2,2.82,tp
2026-02-20 15:15:00,2026-02-22 23:00:00,SHORT,1.17937,1.18054,1.18046,1.1761,-11.7,-1.07,sl
2026-02-23 06:30:00,2026-02-23 08:30:00,SHORT,1.18299,1.18115,1.18363,1.18107,18.4,2.87,tp
2026-02-23 15:00:00,2026-02-24 01:00:00,SHORT,1.18035,1.17829,1.18106,1.17821,20.6,2.89,tp
2026-02-24 09:30:00,2026-02-24 13:45:00,SHORT,1.17871,1.177,1.17931,1.17692,17.1,2.87,tp
2026-02-25 15:15:00,2026-02-25 16:00:00,SHORT,1.17965,1.18038,1.1803,1.1777,-7.3,-1.12,sl
2026-02-26 13:15:00,2026-02-26 15:15:00,SHORT,1.18115,1.17971,1.18166,1.17963,14.4,2.84,tp
2026-02-27 07:45:00,2026-02-27 08:00:00,SHORT,1.18111,1.18171,1.18163,1.17955,-6.0,-1.15,sl
2026-02-27 14:45:00,2026-02-27 16:15:00,SHORT,1.18114,1.18193,1.18185,1.179,-7.9,-1.11,sl
2026-03-05 10:00:00,2026-03-05 15:15:00,SHORT,1.16208,1.1588,1.1632,1.15872,32.8,2.93,tp
2026-03-06 16:00:00,2026-03-06 16:15:00,SHORT,1.15778,1.1591,1.15902,1.15405,-13.2,-1.06,sl
2026-03-09 06:15:00,2026-03-09 08:30:00,SHORT,1.15556,1.15174,1.15686,1.15166,38.2,2.94,tp
2026-03-09 16:00:00,2026-03-09 19:15:00,SHORT,1.15899,1.16037,1.16029,1.15508,-13.8,-1.06,sl
2026-03-10 07:15:00,2026-03-10 07:30:00,SHORT,1.16274,1.16357,1.16349,1.1605,-8.3,-1.11,sl
2026-03-10 15:45:00,2026-03-10 17:15:00,SHORT,1.16522,1.16639,1.16631,1.16196,-11.7,-1.07,sl
2026-03-11 06:15:00,2026-03-11 07:15:00,SHORT,1.16377,1.16439,1.16431,1.16215,-6.2,-1.15,sl
2026-03-12 06:15:00,2026-03-12 06:30:00,SHORT,1.15415,1.15489,1.15481,1.15217,-7.4,-1.12,sl
2026-03-12 10:15:00,2026-03-12 11:30:00,SHORT,1.15557,1.1563,1.15622,1.15362,-7.3,-1.12,sl
2026-03-13 13:00:00,2026-03-13 13:30:00,SHORT,1.14762,1.1488,1.14872,1.14433,-11.8,-1.07,sl
2026-03-16 09:00:00,2026-03-16 09:45:00,SHORT,1.1443,1.14516,1.14508,1.14196,-8.6,-1.1,sl
2026-03-16 14:15:00,2026-03-16 18:15:00,SHORT,1.14998,1.15096,1.15088,1.14727,-9.8,-1.09,sl
2026-03-17 09:00:00,2026-03-17 09:15:00,SHORT,1.15086,1.15186,1.15178,1.14811,-10.0,-1.09,sl
2026-03-17 13:00:00,2026-03-17 13:15:00,SHORT,1.15223,1.15331,1.15323,1.14923,-10.8,-1.08,sl
2026-03-18 06:15:00,2026-03-18 07:30:00,SHORT,1.15446,1.15347,1.15482,1.15339,9.9,2.78,tp
2026-03-18 11:15:00,2026-03-18 12:15:00,SHORT,1.15471,1.15281,1.15537,1.15273,19.0,2.88,tp
2026-03-19 12:45:00,2026-03-19 13:15:00,SHORT,1.14835,1.14967,1.14959,1.14462,-13.2,-1.06,sl
2026-03-20 07:15:00,2026-03-20 08:15:00,SHORT,1.15705,1.15774,1.15766,1.15522,-6.9,-1.13,sl
2026-03-20 11:45:00,2026-03-20 13:30:00,SHORT,1.15768,1.15513,1.15856,1.15505,25.5,2.91,tp
2026-03-23 11:15:00,2026-03-23 11:30:00,SHORT,1.15635,1.15816,1.15808,1.15115,-18.1,-1.05,sl
2026-03-24 07:30:00,2026-03-24 09:15:00,SHORT,1.16016,1.15791,1.16094,1.15783,22.5,2.9,tp
2026-03-24 15:30:00,2026-03-24 17:00:00,SHORT,1.1592,1.15606,1.16027,1.15598,31.4,2.93,tp
2026-03-25 08:15:00,2026-03-25 08:30:00,SHORT,1.16046,1.16122,1.16114,1.15842,-7.6,-1.12,sl
2026-03-26 10:15:00,2026-03-26 11:15:00,SHORT,1.15612,1.1544,1.15672,1.15432,17.2,2.87,tp
2026-03-26 15:30:00,2026-03-26 20:00:00,SHORT,1.15421,1.15507,1.15499,1.15187,-8.6,-1.1,sl
2026-03-27 06:15:00,2026-03-27 07:00:00,SHORT,1.15417,1.15299,1.15459,1.15291,11.8,2.81,tp
2026-03-27 15:30:00,2026-03-27 17:15:00,SHORT,1.15352,1.15138,1.15426,1.1513,21.4,2.89,tp
2026-03-30 06:45:00,2026-03-30 07:00:00,SHORT,1.15174,1.15067,1.1522,1.15059,10.7,2.33,tp
2026-03-31 09:30:00,2026-03-31 11:15:00,SHORT,1.14704,1.14768,1.1476,1.14565,-6.4,-1.14,sl
2026-03-31 14:30:00,2026-03-31 14:45:00,SHORT,1.15329,1.15111,1.15419,1.15103,21.8,2.41,tp
2026-04-01 07:30:00,2026-04-01 07:45:00,SHORT,1.15876,1.15955,1.15947,1.15698,-7.9,-1.11,sl
2026-04-01 12:45:00,2026-04-01 13:30:00,SHORT,1.16129,1.16227,1.16219,1.15904,-9.8,-1.09,sl
2026-04-02 15:00:00,2026-04-03 12:30:00,SHORT,1.15496,1.15276,1.15587,1.15268,22.0,2.41,tp
2026-04-06 05:15:00,2026-04-06 06:45:00,SHORT,1.15243,1.15297,1.15289,1.15127,-5.4,-1.17,sl
2026-04-06 14:45:00,2026-04-06 15:00:00,SHORT,1.15604,1.15422,1.1568,1.15414,18.2,2.39,tp
2026-04-07 08:00:00,2026-04-07 08:15:00,SHORT,1.15405,1.15465,1.15457,1.15276,-6.0,-1.16,sl
2026-04-07 14:45:00,2026-04-07 19:15:00,SHORT,1.15767,1.15865,1.15857,1.15541,-9.8,-1.09,sl
2026-04-08 06:15:00,2026-04-08 06:30:00,SHORT,1.16877,1.16986,1.16978,1.16626,-10.9,-1.08,sl
2026-04-08 11:30:00,2026-04-08 12:45:00,SHORT,1.17051,1.17164,1.17156,1.16788,-11.3,-1.08,sl
2026-04-09 05:15:00,2026-04-09 07:00:00,SHORT,1.16607,1.16663,1.16655,1.16486,-5.6,-1.17,sl
2026-04-09 11:30:00,2026-04-09 11:45:00,SHORT,1.16795,1.16858,1.1685,1.16656,-6.3,-1.14,sl
2026-04-10 13:15:00,2026-04-10 13:30:00,SHORT,1.17215,1.17292,1.17284,1.17042,-7.7,-1.12,sl
2026-04-20 07:15:00,2026-04-20 07:45:00,SHORT,1.17652,1.17566,1.17558,1.17503,8.6,1.74,trail
2026-04-20 14:30:00,2026-04-20 14:45:00,SHORT,1.1774,1.17662,1.17654,1.17553,7.8,1.25,trail
2026-04-21 14:45:00,2026-04-21 15:00:00,SHORT,1.17697,1.17516,1.17508,1.17539,18.1,3.45,trail
