entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-15 05:15:00,2026-04-15 06:00:00,SHORT,1.17913,1.17953,1.17945,1.17811,-4.0,-1.25,sl
2026-04-16 11:30:00,2026-04-16 13:45:00,SHORT,1.17841,1.17681,1.17894,1.17673,16.0,3.05,tp
2026-04-16 16:15:00,2026-04-17 08:30:00,SHORT,1.17836,1.17905,1.17897,1.1764,-6.9,-1.13,sl
2026-04-21 14:45:00,2026-04-21 15:00:00,SHORT,1.17697,1.17495,1.1775,1.17487,20.2,3.85,tp
2026-04-22 14:00:00,2026-04-22 15:30:00,SHORT,1.17393,1.17142,1.17458,1.17134,25.1,3.88,tp
2026-04-28 08:30:00,2026-04-28 09:30:00,SHORT,1.1705,1.169,1.17099,1.16892,15.0,3.04,tp
2026-04-29 07:30:00,2026-04-29 10:45:00,SHORT,1.17034,1.1708,1.17072,1.16911,-4.6,-1.21,sl
2026-04-29 15:45:00,2026-04-29 18:00:00,SHORT,1.16969,1.16783,1.1703,1.16775,18.6,3.07,tp
2026-05-04 14:00:00,2026-05-04 16:00:00,SHORT,1.17132,1.16919,1.17201,1.16911,21.3,3.08,tp
2026-05-12 13:00:00,2026-05-12 13:45:00,SHORT,1.17459,1.17297,1.17512,1.17289,16.2,3.05,tp
2026-05-12 16:15:00,2026-05-12 19:00:00,SHORT,1.17355,1.17424,1.17416,1.1716,-6.9,-1.13,sl
2026-05-13 16:30:00,2026-05-14 06:45:00,SHORT,1.17146,1.17205,1.17197,1.16984,-5.9,-1.16,sl
2026-05-14 17:45:00,2026-05-14 23:00:00,SHORT,1.16783,1.16632,1.16833,1.16624,15.1,3.04,tp
2026-05-15 17:15:00,2026-05-17 21:00:00,SHORT,1.16322,1.16149,1.16379,1.16141,17.3,3.06,tp
2026-05-19 06:30:00,2026-05-19 08:00:00,SHORT,1.16412,1.16294,1.16451,1.16286,11.8,3.0,tp
2026-05-20 11:45:00,2026-05-20 14:00:00,SHORT,1.16001,1.15867,1.16045,1.15859,13.4,3.02,tp
2026-05-26 06:45:00,2026-05-26 07:00:00,SHORT,1.16345,1.16259,1.16372,1.16251,8.6,3.2,tp
2026-06-01 18:00:00,2026-06-02 05:15:00,SHORT,1.16331,1.16396,1.16388,1.16148,-6.5,-1.14,sl
2026-06-03 11:30:00,2026-06-03 12:30:00,SHORT,1.16184,1.16059,1.16226,1.16051,12.5,3.01,tp
2026-06-03 15:00:00,2026-06-04 09:00:00,SHORT,1.16108,1.16178,1.1617,1.1591,-7.0,-1.13,sl
2026-06-05 05:00:00,2026-06-05 05:30:00,SHORT,1.16143,1.16171,1.16163,1.16078,-2.8,-1.4,sl
2026-06-17 05:45:00,2026-06-17 06:15:00,SHORT,1.16124,1.16058,1.16147,1.1605,6.6,2.86,tp
2026-06-17 13:00:00,2026-06-17 14:45:00,SHORT,1.16001,1.1587,1.16044,1.15862,13.1,3.02,tp
2026-06-18 15:00:00,2026-06-18 18:45:00,SHORT,1.14847,1.14591,1.1493,1.14583,25.6,3.1,tp
2026-06-22 07:00:00,2026-06-22 13:00:00,SHORT,1.14584,1.1441,1.14629,1.14402,17.4,3.82,tp
2026-06-23 13:45:00,2026-06-24 02:45:00,SHORT,1.13952,1.13707,1.14015,1.13699,24.5,3.87,tp
2026-06-24 06:15:00,2026-06-24 06:45:00,SHORT,1.13721,1.13586,1.13757,1.13578,13.5,3.78,tp
2026-06-30 07:15:00,2026-06-30 08:00:00,SHORT,1.14029,1.1389,1.14075,1.13882,13.9,3.03,tp
2026-07-01 05:00:00,2026-07-01 07:00:00,SHORT,1.14067,1.13983,1.14096,1.13975,8.4,2.92,tp
2026-07-06 13:30:00,2026-07-06 15:45:00,SHORT,1.14187,1.1425,1.14242,1.14011,-6.3,-1.15,sl
2026-07-07 18:00:00,2026-07-07 19:00:00,SHORT,1.14264,1.14112,1.14314,1.14104,15.2,3.04,tp
2026-07-08 16:45:00,2026-07-08 17:00:00,SHORT,1.14103,1.14188,1.1418,1.13856,-8.5,-1.1,sl
2026-07-10 12:15:00,2026-07-10 14:00:00,SHORT,1.14337,1.14174,1.14391,1.14166,16.3,3.05,tp
2026-07-10 15:30:00,2026-07-10 16:00:00,SHORT,1.14313,1.1439,1.14382,1.14091,-7.7,-1.12,sl
2026-07-13 04:15:00,2026-07-13 04:45:00,SHORT,1.13973,1.14026,1.14018,1.13829,-5.3,-1.18,sl
2026-07-17 14:15:00,2026-07-17 14:30:00,SHORT,1.14346,1.1441,1.14402,1.14165,-6.4,-1.14,sl
2026-07-23 16:30:00,2026-07-24 01:00:00,SHORT,1.13767,1.1384,1.13832,1.13559,-7.3,-1.12,sl
2026-07-27 16:30:00,2026-07-28 05:00:00,SHORT,1.13805,1.13643,1.13854,1.13635,16.2,3.34,tp
2026-07-28 07:15:00,2026-07-28 09:45:00,SHORT,1.13713,1.13607,1.13746,1.13599,10.6,3.25,tp
2026-07-31 13:30:00,2026-07-31 13:45:00,SHORT,1.14983,1.14773,1.15045,1.14765,21.0,3.37,tp
