entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-07 09:00:00,2025-01-07 12:00:00,SHORT,1.04234,1.0394,1.03932,1.03886,29.4,2.54,trail
2025-01-09 14:00:00,2025-01-10 05:00:00,SHORT,1.03061,1.02899,1.02891,1.0279,16.2,1.79,trail
2025-01-15 14:00:00,2025-01-15 15:00:00,SHORT,1.03426,1.03058,1.0305,1.03073,36.8,3.13,trail
2025-01-15 19:00:00,2025-01-16 12:00:00,SHORT,1.02904,1.02717,1.02709,1.02507,18.7,1.41,trail
2025-01-21 19:00:00,2025-01-22 09:00:00,SHORT,1.04271,1.04429,1.04421,1.03821,-15.8,-1.05,sl
2025-01-24 16:00:00,2025-01-26 22:00:00,SHORT,1.05143,1.04774,1.05269,1.04766,36.9,2.94,tp
2025-01-30 14:00:00,2025-01-30 15:00:00,SHORT,1.04542,1.04334,1.04326,1.04257,20.8,1.82,trail
2025-01-31 18:00:00,2025-01-31 19:00:00,SHORT,1.04182,1.03724,1.03716,1.03845,45.8,3.4,trail
2025-02-04 16:00:00,2025-02-05 07:00:00,SHORT,1.03785,1.03946,1.03938,1.03325,-16.1,-1.05,sl
2025-02-05 16:00:00,2025-02-05 21:00:00,SHORT,1.04203,1.04041,1.04033,1.03835,16.2,1.32,trail
2025-02-20 16:00:00,2025-02-20 17:00:00,SHORT,1.04719,1.04822,1.04814,1.04434,-10.3,-1.08,sl
2025-02-21 08:00:00,2025-02-21 09:00:00,SHORT,1.04907,1.04714,1.04706,1.04672,19.3,2.47,trail
2025-02-25 16:00:00,2025-02-25 18:00:00,SHORT,1.04968,1.05067,1.05059,1.04696,-9.9,-1.09,sl
2025-02-26 17:00:00,2025-02-26 18:00:00,SHORT,1.0512,1.04905,1.04897,1.04839,21.5,2.29,trail
2025-03-05 14:00:00,2025-03-05 15:00:00,SHORT,1.0714,1.0732,1.07312,1.06625,-18.0,-1.05,sl
2025-03-07 14:00:00,2025-03-07 15:00:00,SHORT,1.0843,1.08586,1.08578,1.07986,-15.6,-1.05,sl
2025-03-11 14:00:00,2025-03-11 17:00:00,SHORT,1.09175,1.09333,1.09325,1.08725,-15.8,-1.05,sl
2025-03-14 11:00:00,2025-03-14 12:00:00,SHORT,1.08933,1.09065,1.09057,1.0856,-13.2,-1.06,sl
2025-03-18 09:00:00,2025-03-18 10:00:00,SHORT,1.09499,1.09365,1.09357,1.09256,13.4,1.66,trail
2025-03-18 18:00:00,2025-03-19 04:00:00,SHORT,1.09483,1.09346,1.09338,1.09146,13.7,1.22,trail
2025-03-28 15:00:00,2025-03-28 16:00:00,SHORT,1.08214,1.08328,1.0832,1.08002,-11.4,-1.08,sl
2025-03-28 20:00:00,2025-03-30 22:00:00,SHORT,1.08238,1.08113,1.08105,1.08028,12.5,1.19,trail
2025-04-02 15:00:00,2025-04-02 20:00:00,SHORT,1.08568,1.08167,1.08159,1.08251,40.1,3.79,trail
2025-04-04 12:00:00,2025-04-04 13:00:00,SHORT,1.10592,1.10213,1.10205,1.0978,37.9,1.4,trail
