entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-06 09:00:00,2025-01-06 11:00:00,SHORT,1.03482,1.03603,1.03595,1.03143,-12.1,-1.07,sl
2025-01-07 09:00:00,2025-01-07 15:00:00,SHORT,1.04234,1.03795,1.04383,1.03787,43.9,2.95,tp
2025-01-15 14:00:00,2025-01-15 15:00:00,SHORT,1.03426,1.03078,1.0307,1.02972,34.8,2.3,trail
2025-01-17 15:00:00,2025-01-17 16:00:00,LONG,1.02983,1.0285,1.02858,1.03358,-13.3,-1.06,sl
2025-01-23 17:00:00,2025-01-24 02:00:00,LONG,1.04192,1.04385,1.04393,1.0463,19.3,1.32,trail
2025-01-28 13:00:00,2025-01-28 14:00:00,SHORT,1.04184,1.04352,1.04344,1.03785,-16.8,-1.05,sl
2025-01-29 12:00:00,2025-01-29 15:00:00,SHORT,1.03998,1.04135,1.04127,1.03675,-13.7,-1.06,sl
2025-02-06 13:00:00,2025-02-06 14:00:00,SHORT,1.03601,1.03736,1.03728,1.03283,-13.5,-1.06,sl
2025-02-07 19:00:00,2025-02-09 22:00:00,SHORT,1.03235,1.02925,1.02917,1.02664,31.0,1.36,trail
2025-02-13 07:00:00,2025-02-13 11:00:00,SHORT,1.04292,1.0394,1.04436,1.03932,35.2,2.44,tp
2025-02-25 18:00:00,2025-02-26 01:00:00,LONG,1.05022,1.0516,1.05168,1.0538,13.8,1.16,trail
2025-02-28 18:00:00,2025-02-28 19:00:00,LONG,1.03963,1.03834,1.03842,1.04326,-12.9,-1.07,sl
2025-03-03 07:00:00,2025-03-03 08:00:00,LONG,1.04082,1.03952,1.0396,1.04448,-13.0,-1.07,sl
2025-03-03 14:00:00,2025-03-04 08:00:00,LONG,1.04721,1.05138,1.04579,1.05146,41.7,2.94,tp
2025-03-14 13:00:00,2025-03-14 14:00:00,LONG,1.08945,1.08772,1.0878,1.09439,-17.3,-1.05,sl
2025-03-25 12:00:00,2025-03-25 14:00:00,LONG,1.08177,1.08044,1.08052,1.08553,-13.3,-1.06,sl
2025-03-27 12:00:00,2025-03-28 09:00:00,LONG,1.07871,1.07724,1.07732,1.08288,-14.7,-1.06,sl
2025-04-03 15:00:00,2025-04-03 16:00:00,LONG,1.11185,1.1073,1.10738,1.12525,-45.5,-1.02,sl
2025-04-09 18:00:00,2025-04-09 19:00:00,LONG,1.09754,1.0931,1.09318,1.11061,-44.4,-1.02,sl
2025-04-17 13:00:00,2025-04-17 14:00:00,LONG,1.13567,1.13368,1.13376,1.14045,-19.9,-1.04,sl
2025-04-17 17:00:00,2025-04-18 14:00:00,LONG,1.13505,1.13834,1.13842,1.14054,32.9,1.5,trail
2025-04-25 05:00:00,2025-04-25 14:00:00,LONG,1.13351,1.13664,1.13672,1.13878,31.3,1.48,trail
2025-05-02 14:00:00,2025-05-02 15:00:00,LONG,1.1372,1.13496,1.13504,1.14369,-22.4,-1.04,sl
2025-05-08 08:00:00,2025-05-08 10:00:00,LONG,1.1297,1.12783,1.12791,1.13507,-18.7,-1.04,sl
2025-05-13 17:00:00,2025-05-13 20:00:00,SHORT,1.11742,1.11921,1.11913,1.11228,-17.9,-1.05,sl
