entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 07:00:00,2026-01-05 08:15:00,SHORT,1.16891,1.1694,1.16932,1.16767,-4.9,-1.19,sl
2026-01-05 17:00:00,2026-01-05 18:30:00,SHORT,1.1713,1.17204,1.17196,1.16932,-7.4,-1.12,sl
2026-01-06 05:15:00,2026-01-06 07:00:00,SHORT,1.17347,1.17391,1.17383,1.17239,-4.4,-1.22,sl
2026-01-06 18:00:00,2026-01-07 07:45:00,SHORT,1.16989,1.16813,1.1705,1.16805,17.6,2.87,tp
2026-01-07 10:45:00,2026-01-07 13:45:00,SHORT,1.16894,1.16945,1.16937,1.16764,-5.1,-1.18,sl
2026-01-07 15:00:00,2026-01-07 15:15:00,SHORT,1.16946,1.16806,1.16995,1.16798,14.0,2.84,tp
2026-01-08 06:00:00,2026-01-08 08:15:00,SHORT,1.16806,1.16744,1.16829,1.16736,6.2,2.66,tp
2026-01-08 14:15:00,2026-01-08 15:15:00,LONG,1.16599,1.1672,1.16556,1.16728,12.1,2.81,tp
2026-01-09 13:45:00,2026-01-09 14:15:00,SHORT,1.16547,1.16383,1.16604,1.16375,16.4,2.86,tp
2026-01-12 05:45:00,2026-01-12 06:45:00,SHORT,1.1667,1.16727,1.16719,1.16522,-5.7,-1.16,sl
2026-01-12 13:45:00,2026-01-12 17:00:00,SHORT,1.16905,1.16707,1.16974,1.16699,19.8,2.88,tp
2026-01-13 10:15:00,2026-01-13 12:45:00,SHORT,1.167,1.16571,1.16746,1.16563,12.9,2.83,tp
2026-01-13 19:00:00,2026-01-14 12:45:00,SHORT,1.16515,1.16583,1.16575,1.16335,-6.8,-1.13,sl
2026-01-15 10:30:00,2026-01-15 12:45:00,SHORT,1.1637,1.16254,1.16411,1.16246,11.6,2.81,tp
2026-01-15 19:00:00,2026-01-16 11:15:00,SHORT,1.1613,1.16194,1.16186,1.15961,-6.4,-1.14,sl
2026-01-16 12:15:00,2026-01-16 15:00:00,SHORT,1.16186,1.16233,1.16225,1.16068,-4.7,-1.2,sl
2026-01-19 14:30:00,2026-01-19 14:45:00,SHORT,1.16339,1.16389,1.16381,1.16212,-5.0,-1.19,sl
2026-01-19 18:00:00,2026-01-20 00:30:00,SHORT,1.16441,1.16328,1.16481,1.1632,11.3,2.8,tp
2026-01-20 16:45:00,2026-01-20 17:00:00,SHORT,1.17311,1.17406,1.17398,1.1705,-9.5,-1.09,sl
2026-01-21 07:00:00,2026-01-21 07:30:00,SHORT,1.17218,1.17117,1.17254,1.17109,10.1,2.78,tp
2026-01-21 12:45:00,2026-01-21 13:00:00,SHORT,1.17286,1.17346,1.17338,1.17129,-6.0,-1.15,sl
2026-01-22 12:00:00,2026-01-22 12:15:00,SHORT,1.17004,1.17059,1.17051,1.16862,-5.5,-1.17,sl
2026-01-22 15:00:00,2026-01-22 15:15:00,SHORT,1.17177,1.17238,1.1723,1.17017,-6.1,-1.15,sl
