entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-06 05:30:00,2026-04-06 06:45:00,SHORT,1.32154,1.32212,1.32201,1.32037,-5.7,-1.22,sl
2026-04-06 09:30:00,2026-04-06 10:45:00,SHORT,1.32508,1.32351,1.32574,1.3234,15.7,2.34,tp
2026-04-07 06:45:00,2026-04-07 07:30:00,SHORT,1.32414,1.32274,1.32473,1.32264,13.9,2.32,tp
2026-04-07 10:00:00,2026-04-07 10:15:00,SHORT,1.32634,1.32424,1.32723,1.32413,21.1,2.38,tp
2026-04-08 05:30:00,2026-04-08 05:45:00,SHORT,1.34236,1.34349,1.34338,1.33982,-11.2,-1.1,sl
2026-04-08 08:30:00,2026-04-08 09:00:00,SHORT,1.34188,1.34318,1.34307,1.33892,-12.9,-1.09,sl
2026-04-09 09:15:00,2026-04-09 11:30:00,SHORT,1.34092,1.34177,1.34167,1.33907,-8.5,-1.14,sl
2026-04-09 17:45:00,2026-04-09 21:00:00,SHORT,1.3452,1.34289,1.34616,1.34279,23.0,2.39,tp
2026-04-10 10:15:00,2026-04-10 10:30:00,SHORT,1.34346,1.34422,1.34412,1.3418,-7.7,-1.16,sl
2026-04-10 14:30:00,2026-04-10 14:45:00,SHORT,1.34732,1.34539,1.34813,1.34529,19.2,2.37,tp
2026-04-13 08:30:00,2026-04-13 10:45:00,SHORT,1.3427,1.34342,1.34331,1.34118,-7.1,-1.17,sl
2026-04-13 11:30:00,2026-04-13 11:45:00,SHORT,1.34358,1.34231,1.34412,1.34221,12.6,2.31,tp
2026-04-14 07:00:00,2026-04-14 07:15:00,SHORT,1.35208,1.35266,1.35256,1.35087,-5.9,-1.22,sl
2026-04-14 10:45:00,2026-04-14 11:00:00,SHORT,1.35498,1.35576,1.35566,1.3533,-7.8,-1.16,sl
2026-04-15 05:15:00,2026-04-15 06:45:00,SHORT,1.35688,1.35599,1.35727,1.35589,8.8,2.23,tp
2026-04-15 15:30:00,2026-04-15 21:00:00,SHORT,1.35742,1.35544,1.35826,1.35534,19.8,2.37,tp
2026-04-16 04:30:00,2026-04-16 05:30:00,SHORT,1.35772,1.35664,1.3582,1.35653,10.9,2.28,tp
2026-04-16 11:15:00,2026-04-16 14:15:00,SHORT,1.35496,1.35339,1.35564,1.35328,15.8,2.34,tp
2026-04-17 09:15:00,2026-04-17 09:30:00,SHORT,1.35286,1.3535,1.3534,1.3515,-6.5,-1.19,sl
2026-04-17 12:45:00,2026-04-17 13:00:00,SHORT,1.35414,1.35494,1.35484,1.35238,-8.1,-1.15,sl
2026-04-20 07:00:00,2026-04-20 07:15:00,SHORT,1.35042,1.35117,1.35107,1.34879,-7.6,-1.16,sl
2026-04-20 15:45:00,2026-04-21 03:00:00,SHORT,1.35392,1.35181,1.3548,1.35171,21.0,2.38,tp
2026-04-21 06:15:00,2026-04-21 07:00:00,SHORT,1.35244,1.3515,1.35287,1.35139,9.5,2.25,tp
2026-04-21 14:45:00,2026-04-21 15:00:00,SHORT,1.35338,1.35151,1.35416,1.3514,18.7,2.37,tp
2026-04-22 05:30:00,2026-04-22 07:15:00,SHORT,1.3527,1.3512,1.35333,1.3511,14.9,2.34,tp
2026-04-22 09:15:00,2026-04-22 10:00:00,SHORT,1.35316,1.35168,1.3538,1.35157,14.9,2.34,tp
2026-04-23 09:45:00,2026-04-23 10:45:00,SHORT,1.35048,1.34886,1.35116,1.34876,16.1,2.35,tp
2026-04-23 15:00:00,2026-04-23 16:00:00,SHORT,1.35082,1.34877,1.35169,1.34866,20.6,2.38,tp
2026-04-24 08:00:00,2026-04-24 08:15:00,SHORT,1.34744,1.34804,1.34794,1.34618,-6.1,-1.21,sl
2026-04-27 04:15:00,2026-04-27 06:00:00,SHORT,1.3541,1.35307,1.35456,1.35296,10.4,2.27,tp
2026-04-27 08:30:00,2026-04-27 08:45:00,SHORT,1.35466,1.35535,1.35524,1.35322,-6.8,-1.18,sl
2026-04-28 04:45:00,2026-04-28 05:30:00,SHORT,1.35318,1.35235,1.35355,1.35224,8.3,2.22,tp
2026-04-28 17:00:00,2026-04-28 17:45:00,SHORT,1.35124,1.35205,1.35194,1.3495,-8.0,-1.15,sl
2026-04-29 15:00:00,2026-04-29 16:45:00,SHORT,1.34998,1.34801,1.3508,1.34791,19.6,2.37,tp
2026-04-30 07:45:00,2026-04-30 08:00:00,SHORT,1.34856,1.34934,1.34924,1.34685,-7.9,-1.15,sl
2026-04-30 15:15:00,2026-04-30 18:30:00,SHORT,1.35826,1.35985,1.35975,1.35456,-15.9,-1.07,sl
2026-05-01 07:00:00,2026-05-01 09:15:00,SHORT,1.36086,1.35952,1.36143,1.35941,13.4,2.32,tp
2026-05-01 12:15:00,2026-05-01 12:30:00,SHORT,1.36288,1.3638,1.3637,1.36085,-9.2,-1.13,sl
2026-05-04 06:15:00,2026-05-04 06:30:00,SHORT,1.35938,1.35856,1.35846,1.35801,8.1,1.49,trail
2026-05-04 14:30:00,2026-05-04 15:15:00,SHORT,1.35632,1.35372,1.35361,1.35406,26.0,2.87,trail
2026-05-05 08:15:00,2026-05-05 08:30:00,SHORT,1.35406,1.35481,1.3547,1.35247,-7.4,-1.16,sl
2026-05-05 13:15:00,2026-05-05 14:00:00,SHORT,1.35514,1.35603,1.35593,1.35319,-8.9,-1.13,sl
2026-05-06 09:00:00,2026-05-06 10:45:00,SHORT,1.36234,1.36325,1.36315,1.36034,-9.1,-1.13,sl
2026-05-07 07:15:00,2026-05-07 10:15:00,SHORT,1.36196,1.36267,1.36257,1.36042,-7.2,-1.17,sl
2026-05-07 15:00:00,2026-05-07 15:15:00,SHORT,1.36282,1.36138,1.36128,1.36103,14.3,2.0,trail
2026-05-08 06:45:00,2026-05-08 07:15:00,SHORT,1.35868,1.35808,1.35797,1.35735,6.1,1.14,trail
2026-05-08 09:45:00,2026-05-08 10:45:00,SHORT,1.36136,1.36058,1.36047,1.35981,7.8,1.26,trail
2026-05-11 08:30:00,2026-05-11 10:00:00,SHORT,1.36096,1.3593,1.36167,1.3592,16.6,2.35,tp
2026-05-11 13:45:00,2026-05-11 14:45:00,SHORT,1.36264,1.36368,1.36358,1.36032,-10.4,-1.11,sl
2026-05-12 09:30:00,2026-05-12 10:15:00,SHORT,1.35334,1.35467,1.35457,1.35029,-13.3,-1.09,sl
2026-05-13 06:00:00,2026-05-13 06:30:00,SHORT,1.35466,1.35346,1.35518,1.35335,12.0,2.3,tp
2026-05-13 15:45:00,2026-05-14 11:45:00,SHORT,1.35242,1.34994,1.35346,1.34983,24.9,2.4,tp
2026-05-18 06:15:00,2026-05-18 06:30:00,SHORT,1.33334,1.33399,1.33389,1.33198,-6.5,-1.19,sl
2026-05-18 16:15:00,2026-05-18 18:15:00,SHORT,1.34422,1.34124,1.34546,1.34113,29.9,2.42,tp
2026-05-19 12:30:00,2026-05-19 13:15:00,SHORT,1.34136,1.33951,1.34215,1.33941,18.5,2.37,tp
2026-05-19 17:15:00,2026-05-20 00:00:00,SHORT,1.34092,1.33892,1.34176,1.33881,20.0,2.38,tp
2026-05-20 04:15:00,2026-05-20 06:00:00,SHORT,1.34012,1.33878,1.34069,1.33867,13.4,2.32,tp
2026-05-20 15:00:00,2026-05-20 15:15:00,SHORT,1.34308,1.34424,1.34414,1.34046,-11.6,-1.1,sl
2026-05-21 08:30:00,2026-05-21 10:30:00,SHORT,1.3438,1.34199,1.34457,1.34189,18.1,2.36,tp
2026-05-21 17:45:00,2026-05-22 06:00:00,SHORT,1.3441,1.34174,1.34508,1.34164,23.5,2.39,tp
2026-05-22 13:15:00,2026-05-22 14:00:00,SHORT,1.34486,1.34305,1.34563,1.34294,18.2,2.36,tp
2026-05-22 16:30:00,2026-05-22 17:30:00,SHORT,1.34428,1.34518,1.34508,1.34227,-9.1,-1.13,sl
2026-05-25 05:15:00,2026-05-25 07:15:00,SHORT,1.34838,1.34731,1.34721,1.34726,10.7,2.39,trail
2026-05-25 09:45:00,2026-05-25 11:30:00,SHORT,1.34934,1.34994,1.34983,1.34813,-5.9,-1.22,sl
