entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 05:10:00,2026-01-05 05:25:00,SHORT,1.16802,1.16836,1.16828,1.16719,-3.4,-1.31,sl
2026-01-05 06:30:00,2026-01-05 06:35:00,SHORT,1.16857,1.16889,1.16881,1.16782,-3.2,-1.34,sl
2026-01-05 11:00:00,2026-01-05 12:05:00,SHORT,1.16881,1.16787,1.16913,1.16779,9.4,2.95,tp
2026-01-05 15:05:00,2026-01-05 15:15:00,SHORT,1.16923,1.16969,1.16961,1.16801,-4.6,-1.21,sl
2026-01-06 12:25:00,2026-01-06 12:40:00,SHORT,1.17081,1.17001,1.17109,1.16993,8.0,2.91,tp
2026-01-06 14:10:00,2026-01-06 14:20:00,SHORT,1.17139,1.17047,1.1717,1.17039,9.2,2.94,tp
2026-01-06 18:05:00,2026-01-06 18:50:00,SHORT,1.16994,1.16887,1.1703,1.16879,10.7,2.98,tp
2026-01-07 06:30:00,2026-01-07 06:50:00,SHORT,1.16936,1.16961,1.16953,1.16882,-2.5,-1.48,sl
2026-01-07 09:45:00,2026-01-07 10:00:00,SHORT,1.16838,1.16872,1.16864,1.16756,-3.4,-1.31,sl
2026-01-07 14:05:00,2026-01-07 14:45:00,SHORT,1.16912,1.16949,1.16941,1.16819,-3.7,-1.28,sl
2026-01-07 17:10:00,2026-01-07 19:15:00,SHORT,1.16898,1.1679,1.16934,1.16782,10.8,2.98,tp
2026-01-08 10:05:00,2026-01-08 10:10:00,SHORT,1.16759,1.16789,1.16781,1.16689,-3.0,-1.37,sl
2026-01-08 13:25:00,2026-01-08 13:30:00,SHORT,1.16752,1.1669,1.16774,1.16682,6.2,2.84,tp
2026-01-08 15:55:00,2026-01-08 16:10:00,SHORT,1.16667,1.16578,1.16697,1.1657,8.9,2.94,tp
2026-01-08 18:45:00,2026-01-08 20:00:00,SHORT,1.16485,1.16521,1.16513,1.16395,-3.6,-1.28,sl
2026-01-09 09:00:00,2026-01-09 10:05:00,SHORT,1.16474,1.16411,1.16496,1.16403,6.3,2.84,tp
2026-01-09 11:00:00,2026-01-09 13:30:00,SHORT,1.16452,1.16483,1.16475,1.16379,-3.1,-1.35,sl
2026-01-09 16:00:00,2026-01-11 23:25:00,SHORT,1.16389,1.16251,1.16435,1.16243,13.8,3.03,tp
2026-01-13 13:45:00,2026-01-13 14:00:00,SHORT,1.16649,1.16689,1.16681,1.16536,-4.0,-1.25,sl
2026-01-13 16:55:00,2026-01-13 18:40:00,SHORT,1.16457,1.16503,1.16495,1.16325,-4.6,-1.21,sl
2026-01-13 18:55:00,2026-01-13 21:55:00,SHORT,1.16525,1.16423,1.16557,1.16415,10.2,3.25,tp
2026-01-15 06:05:00,2026-01-15 06:10:00,SHORT,1.16355,1.16379,1.16371,1.163,-2.4,-1.51,sl
2026-01-15 08:25:00,2026-01-15 08:30:00,SHORT,1.16311,1.16339,1.16331,1.16242,-2.8,-1.41,sl
2026-01-15 09:55:00,2026-01-15 10:30:00,SHORT,1.16372,1.16402,1.16394,1.16296,-3.0,-1.37,sl
2026-01-15 17:35:00,2026-01-15 19:15:00,SHORT,1.16113,1.16153,1.16145,1.16002,-4.0,-1.25,sl
2026-01-16 07:35:00,2026-01-16 07:40:00,SHORT,1.16077,1.16101,1.16093,1.1602,-2.4,-1.49,sl
2026-01-16 17:25:00,2026-01-18 22:00:00,SHORT,1.15993,1.15876,1.16029,1.15868,11.7,3.28,tp
2026-01-21 05:25:00,2026-01-21 06:35:00,SHORT,1.17188,1.17219,1.17211,1.17113,-3.1,-1.34,sl
2026-01-21 06:55:00,2026-01-21 07:05:00,SHORT,1.17226,1.17165,1.17248,1.17157,6.1,2.83,tp
2026-01-21 09:30:00,2026-01-21 09:55:00,SHORT,1.17096,1.17012,1.17125,1.17004,8.4,2.92,tp
2026-01-21 12:10:00,2026-01-21 12:15:00,SHORT,1.17148,1.17186,1.17178,1.17053,-3.8,-1.27,sl
2026-01-21 17:15:00,2026-01-21 19:25:00,SHORT,1.17079,1.16932,1.17128,1.16924,14.7,3.04,tp
2026-01-23 05:05:00,2026-01-23 05:10:00,SHORT,1.17489,1.17514,1.17506,1.17436,-2.5,-1.48,sl
2026-01-23 09:40:00,2026-01-23 10:00:00,SHORT,1.17417,1.17328,1.17447,1.1732,8.9,2.94,tp
2026-01-23 12:55:00,2026-01-23 13:15:00,SHORT,1.17415,1.1745,1.17442,1.17329,-3.5,-1.3,sl
2026-01-23 15:00:00,2026-01-23 15:05:00,SHORT,1.17445,1.17482,1.17474,1.17352,-3.7,-1.28,sl
2026-01-26 05:40:00,2026-01-26 06:10:00,SHORT,1.18646,1.18512,1.1869,1.18504,13.4,3.02,tp
2026-01-26 09:40:00,2026-01-26 09:45:00,SHORT,1.18578,1.18636,1.18628,1.18419,-5.8,-1.16,sl
2026-01-27 05:55:00,2026-01-27 06:40:00,SHORT,1.18765,1.18798,1.1879,1.18685,-3.3,-1.32,sl
2026-01-28 05:55:00,2026-01-28 06:00:00,SHORT,1.19918,1.19974,1.19966,1.19764,-5.6,-1.17,sl
2026-01-28 10:50:00,2026-01-28 11:05:00,SHORT,1.19916,1.19729,1.19977,1.19721,18.7,3.07,tp
2026-01-28 12:35:00,2026-01-28 13:20:00,SHORT,1.19808,1.19637,1.19864,1.19629,17.1,3.06,tp
2026-01-28 14:40:00,2026-01-28 14:55:00,SHORT,1.19727,1.19554,1.19784,1.19546,17.3,3.06,tp
2026-01-29 13:30:00,2026-01-29 13:40:00,SHORT,1.19624,1.19677,1.19669,1.1948,-5.3,-1.18,sl
2026-01-29 15:00:00,2026-01-29 15:05:00,SHORT,1.19685,1.19513,1.19741,1.19505,17.2,3.06,tp
2026-01-29 17:45:00,2026-01-29 20:50:00,SHORT,1.19586,1.19667,1.19659,1.19354,-8.1,-1.11,sl
2026-01-30 05:15:00,2026-01-30 05:40:00,SHORT,1.19327,1.19168,1.19379,1.1916,15.9,3.05,tp
2026-01-30 07:55:00,2026-01-30 08:00:00,SHORT,1.19338,1.19399,1.19391,1.19169,-6.1,-1.15,sl
2026-01-30 10:40:00,2026-01-30 10:45:00,SHORT,1.19163,1.19225,1.19217,1.18989,-6.2,-1.15,sl
2026-01-30 18:55:00,2026-01-30 20:15:00,SHORT,1.188,1.18581,1.18871,1.18573,21.9,3.09,tp
2026-02-02 07:30:00,2026-02-02 08:55:00,SHORT,1.18614,1.18464,1.18659,1.18456,15.0,3.32,tp
2026-02-02 14:55:00,2026-02-02 15:00:00,SHORT,1.18262,1.18093,1.18313,1.18085,16.9,3.34,tp
2026-02-02 17:10:00,2026-02-02 18:00:00,SHORT,1.18103,1.17915,1.18159,1.17907,18.8,3.36,tp
2026-02-03 11:35:00,2026-02-03 12:45:00,SHORT,1.17929,1.17977,1.17969,1.17788,-4.8,-1.2,sl
2026-02-03 13:10:00,2026-02-03 13:15:00,SHORT,1.1799,1.18035,1.18027,1.1786,-4.5,-1.22,sl
