entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-15 05:15:00,2026-04-15 06:00:00,SHORT,1.17913,1.17953,1.17945,1.17811,-4.0,-1.25,sl
2026-04-16 11:30:00,2026-04-16 13:45:00,SHORT,1.17841,1.17681,1.17894,1.17673,16.0,3.05,tp
2026-04-16 16:15:00,2026-04-17 08:30:00,SHORT,1.17836,1.17905,1.17897,1.1764,-6.9,-1.13,sl
2026-04-21 14:45:00,2026-04-21 15:00:00,SHORT,1.17697,1.17537,1.1775,1.17529,16.0,3.05,tp
2026-04-22 14:00:00,2026-04-22 14:45:00,SHORT,1.17393,1.17194,1.17458,1.17186,19.9,3.08,tp
2026-04-28 08:30:00,2026-04-28 09:30:00,SHORT,1.1705,1.169,1.17099,1.16892,15.0,3.04,tp
2026-04-29 07:30:00,2026-04-29 10:45:00,SHORT,1.17034,1.1708,1.17072,1.16911,-4.6,-1.21,sl
2026-04-29 15:45:00,2026-04-29 18:00:00,SHORT,1.16969,1.16783,1.1703,1.16775,18.6,3.07,tp
2026-05-04 14:00:00,2026-05-04 16:00:00,SHORT,1.17132,1.16919,1.17201,1.16911,21.3,3.08,tp
2026-05-12 13:00:00,2026-05-12 13:45:00,SHORT,1.17459,1.17297,1.17512,1.17289,16.2,3.05,tp
2026-05-12 16:15:00,2026-05-12 19:00:00,SHORT,1.17355,1.17424,1.17416,1.1716,-6.9,-1.13,sl
2026-05-13 16:30:00,2026-05-14 06:45:00,SHORT,1.17146,1.17205,1.17197,1.16984,-5.9,-1.16,sl
2026-05-14 17:45:00,2026-05-14 23:00:00,SHORT,1.16783,1.16632,1.16833,1.16624,15.1,3.04,tp
2026-05-15 11:15:00,2026-05-15 12:30:00,SHORT,1.16442,1.16244,1.16506,1.16236,19.8,3.08,tp
2026-05-15 17:15:00,2026-05-17 21:00:00,SHORT,1.16322,1.16149,1.16379,1.16141,17.3,3.06,tp
2026-05-20 11:45:00,2026-05-20 14:00:00,SHORT,1.16001,1.15843,1.16053,1.15835,15.8,3.05,tp
2026-05-26 06:45:00,2026-05-26 07:00:00,SHORT,1.16345,1.16243,1.16376,1.16235,10.2,3.25,tp
2026-06-01 18:00:00,2026-06-02 05:15:00,SHORT,1.16331,1.16396,1.16388,1.16148,-6.5,-1.14,sl
2026-06-03 11:30:00,2026-06-03 12:30:00,SHORT,1.16184,1.16059,1.16226,1.16051,12.5,3.01,tp
2026-06-03 15:00:00,2026-06-04 09:00:00,SHORT,1.16108,1.16178,1.1617,1.1591,-7.0,-1.13,sl
2026-06-17 05:45:00,2026-06-17 06:15:00,SHORT,1.16124,1.16058,1.16147,1.1605,6.6,2.86,tp
2026-06-17 13:00:00,2026-06-17 14:45:00,SHORT,1.16001,1.1587,1.16044,1.15862,13.1,3.02,tp
2026-06-18 15:00:00,2026-06-18 18:45:00,SHORT,1.14847,1.14591,1.1493,1.14583,25.6,3.1,tp
2026-06-22 10:15:00,2026-06-22 13:00:00,SHORT,1.14596,1.14404,1.14653,1.14396,19.2,3.36,tp
2026-06-22 15:15:00,2026-06-22 19:30:00,SHORT,1.1445,1.14195,1.14525,1.14187,25.5,3.39,tp
2026-06-23 13:45:00,2026-06-24 00:15:00,SHORT,1.13952,1.13738,1.14015,1.1373,21.4,3.37,tp
2026-06-24 06:15:00,2026-06-24 06:45:00,SHORT,1.13721,1.13604,1.13757,1.13596,11.7,3.28,tp
2026-06-30 07:15:00,2026-06-30 08:30:00,SHORT,1.14029,1.13865,1.14083,1.13857,16.4,3.05,tp
2026-07-01 05:00:00,2026-07-01 07:00:00,SHORT,1.14067,1.13967,1.14101,1.13959,10.0,2.96,tp
2026-07-06 13:30:00,2026-07-06 15:45:00,SHORT,1.14187,1.14242,1.14234,1.14022,-5.5,-1.17,sl
2026-07-07 18:00:00,2026-07-07 19:00:00,SHORT,1.14264,1.14122,1.14307,1.14114,14.2,3.31,tp
2026-07-08 16:45:00,2026-07-08 17:00:00,SHORT,1.14103,1.14177,1.14169,1.13871,-7.4,-1.12,sl
2026-07-10 12:15:00,2026-07-10 14:00:00,SHORT,1.14337,1.14184,1.14383,1.14176,15.3,3.33,tp
2026-07-23 16:30:00,2026-07-24 01:00:00,SHORT,1.13767,1.13851,1.13843,1.13464,-8.4,-1.11,sl
2026-07-27 16:30:00,2026-07-27 20:45:00,SHORT,1.13805,1.13657,1.13854,1.13649,14.8,3.04,tp
2026-07-28 07:15:00,2026-07-28 09:45:00,SHORT,1.13713,1.13617,1.13746,1.13609,9.6,2.95,tp
2026-07-31 09:00:00,2026-07-31 11:00:00,SHORT,1.15187,1.14997,1.15249,1.14989,19.0,3.07,tp
2026-07-31 13:30:00,2026-07-31 13:45:00,SHORT,1.14983,1.14791,1.15045,1.14783,19.2,3.07,tp
