entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 11:00:00,2026-01-05 12:45:00,SHORT,1.16876,1.16703,1.16935,1.1669,17.4,2.99,tp
2026-01-05 17:00:00,2026-01-05 18:15:00,SHORT,1.17126,1.17206,1.17193,1.16909,-8.0,-1.18,sl
2026-01-06 05:30:00,2026-01-06 07:00:00,SHORT,1.17343,1.1739,1.17378,1.17229,-4.8,-1.35,sl
2026-01-07 10:45:00,2026-01-07 13:45:00,SHORT,1.1689,1.16946,1.16934,1.16747,-5.7,-1.28,sl
2026-01-07 15:00:00,2026-01-07 19:15:00,SHORT,1.16942,1.16792,1.16992,1.16779,15.0,2.95,tp
2026-01-08 05:45:00,2026-01-08 06:00:00,SHORT,1.16794,1.1683,1.16817,1.16717,-3.6,-1.52,sl
2026-01-08 10:45:00,2026-01-08 13:45:00,SHORT,1.16764,1.16652,1.16804,1.1664,11.2,2.88,tp
2026-01-09 09:00:00,2026-01-09 13:30:00,SHORT,1.1647,1.16524,1.16512,1.16335,-5.5,-1.3,sl
2026-01-12 07:45:00,2026-01-12 08:00:00,SHORT,1.1676,1.16831,1.16818,1.16583,-7.1,-1.21,sl
2026-01-12 13:30:00,2026-01-12 13:45:00,SHORT,1.16871,1.16958,1.16946,1.16645,-8.8,-1.17,sl
2026-01-13 10:15:00,2026-01-13 12:45:00,SHORT,1.16696,1.1656,1.16745,1.16547,13.6,2.75,tp
2026-01-13 14:15:00,2026-01-13 15:30:00,SHORT,1.16655,1.16461,1.16723,1.16448,19.4,2.82,tp
2026-01-14 10:15:00,2026-01-14 10:30:00,SHORT,1.16482,1.16538,1.16526,1.16353,-5.6,-1.29,sl
2026-01-14 15:00:00,2026-01-14 16:00:00,SHORT,1.16536,1.16612,1.16599,1.16348,-7.5,-1.2,sl
2026-01-15 10:30:00,2026-01-15 12:45:00,SHORT,1.16366,1.16245,1.1641,1.16232,12.1,2.72,tp
2026-01-16 08:45:00,2026-01-16 09:15:00,SHORT,1.16085,1.16138,1.16125,1.15962,-5.3,-1.31,sl
2026-01-16 13:00:00,2026-01-16 15:00:00,SHORT,1.16169,1.16225,1.16213,1.16036,-5.7,-1.28,sl
2026-01-19 10:45:00,2026-01-19 11:45:00,SHORT,1.16208,1.16289,1.16276,1.16006,-8.0,-1.19,sl
2026-01-19 17:00:00,2026-01-19 17:45:00,SHORT,1.16398,1.16467,1.16455,1.16229,-6.9,-1.22,sl
2026-01-20 17:45:00,2026-01-21 13:45:00,SHORT,1.17306,1.17423,1.1741,1.16995,-11.6,-1.12,sl
2026-01-22 09:45:00,2026-01-22 11:00:00,SHORT,1.16916,1.16986,1.16973,1.16743,-7.0,-1.22,sl
2026-01-22 12:45:00,2026-01-22 13:00:00,SHORT,1.17008,1.1708,1.17067,1.16833,-7.1,-1.21,sl
2026-01-23 05:30:00,2026-01-23 07:15:00,SHORT,1.17486,1.17396,1.17521,1.17383,9.1,2.64,tp
2026-01-23 15:45:00,2026-01-23 16:00:00,SHORT,1.17474,1.17546,1.17533,1.17294,-7.2,-1.21,sl
2026-01-26 05:45:00,2026-01-26 07:45:00,SHORT,1.18634,1.18442,1.18716,1.1843,19.2,2.35,tp
2026-01-26 09:45:00,2026-01-26 12:45:00,SHORT,1.18646,1.18422,1.1874,1.1841,22.3,2.37,tp
2026-01-27 06:45:00,2026-01-27 07:45:00,SHORT,1.18774,1.18672,1.18821,1.18659,10.3,2.23,tp
2026-01-27 10:00:00,2026-01-27 11:45:00,SHORT,1.18868,1.18948,1.18936,1.18697,-8.1,-1.18,sl
2026-01-28 07:15:00,2026-01-28 07:30:00,SHORT,1.2019,1.19971,1.20282,1.19958,21.9,2.36,tp
2026-01-29 05:45:00,2026-01-29 07:00:00,SHORT,1.19832,1.19916,1.19904,1.19651,-8.5,-1.17,sl
2026-01-29 15:00:00,2026-01-29 15:15:00,SHORT,1.19681,1.19453,1.19776,1.19441,22.7,2.37,tp
2026-01-30 08:00:00,2026-01-30 09:45:00,SHORT,1.1936,1.1913,1.19456,1.19117,23.0,2.37,tp
2026-01-30 12:00:00,2026-01-30 12:45:00,SHORT,1.19467,1.19238,1.19563,1.19226,22.8,2.37,tp
2026-02-02 10:15:00,2026-02-02 13:00:00,SHORT,1.18666,1.18414,1.18754,1.18401,25.2,2.86,tp
2026-02-03 07:45:00,2026-02-03 08:15:00,SHORT,1.18193,1.18057,1.18242,1.18044,13.6,2.75,tp
2026-02-03 15:30:00,2026-02-03 16:00:00,SHORT,1.18061,1.18152,1.1814,1.17823,-9.2,-1.16,sl
2026-02-04 05:30:00,2026-02-04 08:00:00,SHORT,1.18316,1.18371,1.18358,1.18187,-5.5,-1.29,sl
2026-02-04 12:45:00,2026-02-04 14:00:00,SHORT,1.18212,1.18058,1.18267,1.18046,15.3,2.77,tp
2026-02-05 07:15:00,2026-02-05 07:30:00,SHORT,1.17944,1.18002,1.17989,1.17806,-5.8,-1.27,sl
2026-02-05 14:30:00,2026-02-05 20:45:00,SHORT,1.18052,1.17811,1.18136,1.17799,24.0,2.85,tp
2026-02-06 13:30:00,2026-02-06 13:45:00,SHORT,1.1799,1.1805,1.18038,1.17849,-6.0,-1.26,sl
2026-02-09 05:15:00,2026-02-09 05:30:00,SHORT,1.18288,1.18344,1.18332,1.18158,-5.6,-1.29,sl
2026-02-09 12:15:00,2026-02-09 12:45:00,SHORT,1.1872,1.18795,1.18783,1.18529,-7.6,-1.2,sl
2026-02-10 08:45:00,2026-02-10 09:00:00,SHORT,1.19116,1.19183,1.1917,1.18952,-6.7,-1.23,sl
2026-02-10 14:15:00,2026-02-10 14:30:00,SHORT,1.19134,1.19212,1.192,1.18934,-7.9,-1.19,sl
2026-02-11 09:45:00,2026-02-11 10:30:00,SHORT,1.19164,1.19224,1.19212,1.19023,-6.0,-1.27,sl
2026-02-11 17:30:00,2026-02-12 05:00:00,SHORT,1.18892,1.18603,1.18993,1.18591,28.9,2.88,tp
2026-02-12 09:00:00,2026-02-12 09:15:00,SHORT,1.18778,1.18849,1.18837,1.186,-7.2,-1.21,sl
2026-02-12 15:15:00,2026-02-12 16:15:00,SHORT,1.18832,1.18653,1.18895,1.1864,17.9,2.8,tp
2026-02-13 14:00:00,2026-02-13 15:45:00,SHORT,1.18719,1.18525,1.18787,1.18513,19.3,2.82,tp
2026-02-16 06:15:00,2026-02-16 06:30:00,SHORT,1.18638,1.18682,1.1867,1.18545,-4.4,-1.4,sl
2026-02-16 09:15:00,2026-02-16 12:45:00,SHORT,1.18656,1.18539,1.18698,1.18527,11.6,2.71,tp
2026-02-17 06:45:00,2026-02-17 07:15:00,SHORT,1.18432,1.18363,1.18458,1.18351,6.8,2.54,tp
2026-02-17 18:00:00,2026-02-17 18:15:00,SHORT,1.18374,1.18452,1.18439,1.18176,-7.8,-1.19,sl
2026-02-18 06:30:00,2026-02-18 06:45:00,SHORT,1.18416,1.18455,1.18442,1.18335,-3.9,-1.46,sl
2026-02-18 12:45:00,2026-02-18 13:00:00,SHORT,1.1842,1.18475,1.18462,1.18292,-5.5,-1.29,sl
2026-02-19 08:45:00,2026-02-19 09:00:00,SHORT,1.18013,1.18065,1.18053,1.17892,-5.3,-1.31,sl
2026-02-19 19:00:00,2026-02-19 21:15:00,SHORT,1.17662,1.1774,1.17728,1.17462,-7.9,-1.19,sl
2026-02-20 07:15:00,2026-02-20 08:00:00,SHORT,1.17593,1.17493,1.1763,1.17481,9.9,2.66,tp
