entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 10:00:00,2026-01-05 10:15:00,SHORT,1.34402,1.34492,1.34477,1.34178,-8.9,-1.19,sl
2026-01-05 14:45:00,2026-01-05 15:00:00,SHORT,1.3461,1.34722,1.34707,1.34316,-11.2,-1.15,sl
2026-01-06 05:15:00,2026-01-06 07:00:00,SHORT,1.35542,1.35602,1.35587,1.35404,-6.0,-1.32,sl
2026-01-06 08:15:00,2026-01-06 09:30:00,SHORT,1.35584,1.35414,1.35646,1.35399,17.1,2.77,tp
2026-01-07 07:00:00,2026-01-07 07:30:00,SHORT,1.3511,1.34994,1.35153,1.34979,11.6,2.67,tp
2026-01-07 13:45:00,2026-01-07 15:15:00,SHORT,1.34954,1.34763,1.35022,1.34749,19.0,2.79,tp
2026-01-08 11:15:00,2026-01-08 13:45:00,SHORT,1.34444,1.34293,1.345,1.34279,15.1,2.74,tp
2026-01-08 15:45:00,2026-01-09 07:15:00,SHORT,1.34372,1.34158,1.34449,1.34144,21.4,2.81,tp
2026-01-09 13:45:00,2026-01-09 14:15:00,SHORT,1.34422,1.34184,1.34505,1.3417,23.7,2.83,tp
2026-01-12 07:15:00,2026-01-12 08:00:00,SHORT,1.344,1.34479,1.34465,1.34207,-7.9,-1.22,sl
2026-01-12 15:45:00,2026-01-13 13:30:00,SHORT,1.34752,1.3486,1.34846,1.34472,-10.8,-1.16,sl
2026-01-13 14:00:00,2026-01-13 15:15:00,SHORT,1.34722,1.34479,1.34808,1.34465,24.3,2.83,tp
2026-01-14 09:30:00,2026-01-14 09:45:00,SHORT,1.3449,1.34562,1.34548,1.34315,-7.3,-1.25,sl
2026-01-14 14:45:00,2026-01-14 17:15:00,SHORT,1.34592,1.34353,1.34676,1.34339,23.8,2.83,tp
2026-01-15 09:30:00,2026-01-15 09:45:00,SHORT,1.34358,1.34441,1.34426,1.34156,-8.2,-1.21,sl
2026-01-15 16:00:00,2026-01-16 08:00:00,SHORT,1.33834,1.33948,1.33934,1.33537,-11.4,-1.15,sl
2026-01-16 10:45:00,2026-01-16 13:15:00,SHORT,1.34084,1.33917,1.34145,1.33902,16.8,2.76,tp
2026-01-19 05:15:00,2026-01-19 05:30:00,SHORT,1.33958,1.34042,1.34028,1.33751,-8.4,-1.21,sl
