entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-28 14:45:00,2026-01-28 15:00:00,SHORT,1.37948,1.37548,1.38066,1.37534,39.9,3.38,tp
2026-02-26 05:45:00,2026-02-26 06:00:00,SHORT,1.35562,1.35623,1.35608,1.35397,-6.1,-1.31,sl
2026-03-05 12:45:00,2026-03-05 15:30:00,SHORT,1.33628,1.33193,1.33757,1.33179,43.5,3.39,tp
2026-03-11 11:00:00,2026-03-11 12:45:00,SHORT,1.3443,1.34072,1.34536,1.34058,35.7,3.36,tp
2026-03-18 11:15:00,2026-03-18 12:15:00,SHORT,1.33633,1.33413,1.33701,1.33399,22.0,3.28,tp
2026-04-21 17:45:00,2026-04-21 19:30:00,SHORT,1.35174,1.34797,1.35287,1.34782,37.8,3.37,tp
2026-04-22 13:45:00,2026-04-23 00:00:00,SHORT,1.35172,1.34911,1.3525,1.34896,26.1,3.32,tp
2026-05-29 06:15:00,2026-05-29 07:15:00,SHORT,1.34412,1.34299,1.34449,1.34284,11.4,3.1,tp
2026-06-03 07:45:00,2026-06-03 12:30:00,SHORT,1.34596,1.34398,1.34656,1.34383,19.8,3.26,tp
2026-07-03 11:15:00,2026-07-05 21:15:00,SHORT,1.33608,1.33409,1.33668,1.33395,19.8,3.26,tp
2026-07-07 09:00:00,2026-07-07 10:00:00,SHORT,1.33888,1.33713,1.33943,1.33699,17.5,3.23,tp
2026-07-08 13:30:00,2026-07-08 13:45:00,SHORT,1.33586,1.337,1.33685,1.33237,-11.4,-1.15,sl
2026-07-16 06:15:00,2026-07-16 06:45:00,SHORT,1.35358,1.35423,1.35408,1.3518,-6.5,-1.29,sl
2026-07-29 17:30:00,2026-07-29 17:45:00,SHORT,1.32954,1.33032,1.33018,1.32728,-7.9,-1.23,sl
2026-07-31 14:45:00,2026-07-31 15:00:00,SHORT,1.34428,1.34553,1.34538,1.34039,-12.5,-1.13,sl
2026-08-11 05:45:00,2026-08-11 07:15:00,SHORT,1.35114,1.35011,1.35147,1.34997,10.2,3.07,tp
2026-08-24 12:30:00,2026-08-24 13:15:00,SHORT,1.3642,1.36496,1.36481,1.36207,-7.5,-1.24,sl
