entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-06 05:45:00,2026-01-06 06:45:00,SHORT,1.17319,1.17379,1.17379,1.17277,-6.0,-1.0,sl
2026-01-06 15:30:00,2026-01-06 16:00:00,SHORT,1.16885,1.16986,1.16986,1.16803,-10.1,-1.0,sl
2026-01-08 08:00:00,2026-01-08 08:15:00,SHORT,1.16769,1.16731,1.16826,1.16731,3.8,0.65,tp
2026-01-09 14:30:00,2026-01-09 15:00:00,SHORT,1.16368,1.16285,1.16471,1.16285,8.3,0.81,tp
2026-01-12 10:15:00,2026-01-12 13:00:00,SHORT,1.1683,1.16921,1.16921,1.1676,-9.0,-1.0,sl
2026-01-12 14:15:00,2026-01-12 16:45:00,SHORT,1.16816,1.16739,1.16913,1.16739,7.7,0.79,tp
2026-01-13 12:30:00,2026-01-13 12:45:00,SHORT,1.16647,1.16603,1.16712,1.16603,4.5,0.69,tp
2026-01-15 12:45:00,2026-01-15 12:45:00,SHORT,1.16318,1.16275,1.16382,1.16275,4.4,0.69,tp
2026-01-16 05:45:00,2026-01-16 07:00:00,SHORT,1.16081,1.16131,1.16131,1.16051,-5.0,-1.0,sl
2026-01-19 06:45:00,2026-01-19 07:00:00,SHORT,1.16261,1.16355,1.16355,1.16188,-9.3,-1.0,sl
2026-01-21 08:00:00,2026-01-21 08:15:00,SHORT,1.17158,1.17083,1.17253,1.17083,7.5,0.79,tp
2026-01-21 15:15:00,2026-01-21 15:15:00,SHORT,1.17192,1.17088,1.17316,1.17088,10.4,0.84,tp
2026-01-29 06:00:00,2026-01-29 07:00:00,SHORT,1.19796,1.19914,1.19914,1.19698,-11.8,-1.0,sl
2026-02-02 05:15:00,2026-02-02 05:45:00,SHORT,1.186,1.18498,1.18722,1.18498,10.2,0.84,tp
2026-02-02 06:15:00,2026-02-02 07:00:00,LONG,1.18491,1.18598,1.18364,1.18598,10.7,0.84,tp
2026-02-04 05:30:00,2026-02-04 07:00:00,LONG,1.18346,1.18265,1.18265,1.18408,-8.2,-1.0,sl
2026-02-05 06:15:00,2026-02-05 07:00:00,LONG,1.17868,1.17992,1.17992,1.17924,12.4,1.64,trail
2026-02-06 05:15:00,2026-02-06 07:00:00,LONG,1.17992,1.17918,1.17918,1.18045,-7.4,-1.0,sl
2026-02-09 10:30:00,2026-02-09 11:45:00,SHORT,1.18603,1.18714,1.18714,1.18511,-11.1,-1.0,sl
