entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-07 15:15:00,2026-01-07 15:30:00,SHORT,1.16865,1.16951,1.16951,1.16644,-8.5,-1.0,sl
2026-01-08 11:00:00,2026-01-08 13:45:00,SHORT,1.16777,1.16607,1.16843,1.16607,17.1,2.6,tp
2026-01-09 11:00:00,2026-01-09 13:30:00,SHORT,1.16446,1.16514,1.16514,1.16269,-6.8,-1.0,sl
2026-01-13 13:45:00,2026-01-13 14:00:00,SHORT,1.16638,1.16737,1.16737,1.16381,-9.9,-1.0,sl
2026-01-16 16:15:00,2026-01-18 23:15:00,SHORT,1.16021,1.16136,1.16136,1.15721,-11.5,-1.0,sl
2026-01-29 15:00:00,2026-01-29 15:15:00,SHORT,1.19669,1.19326,1.19801,1.19326,34.3,2.6,tp
2026-02-12 16:45:00,2026-02-13 13:30:00,SHORT,1.18725,1.18852,1.18852,1.18344,-12.7,-1.0,sl
2026-02-24 10:00:00,2026-02-25 02:45:00,SHORT,1.17851,1.17943,1.17943,1.17577,-9.1,-1.0,sl
2026-03-18 14:15:00,2026-03-18 15:00:00,SHORT,1.1506,1.15224,1.15224,1.14633,-16.4,-1.0,sl
2026-03-23 12:45:00,2026-03-23 16:00:00,LONG,1.16057,1.1577,1.1577,1.16801,-28.6,-1.0,sl
2026-03-24 13:15:00,2026-03-24 14:00:00,SHORT,1.15735,1.15872,1.15872,1.1538,-13.7,-1.0,sl
2026-03-27 13:00:00,2026-03-27 15:15:00,LONG,1.15183,1.15409,1.15096,1.15409,22.6,2.6,tp
2026-04-21 14:45:00,2026-04-21 15:15:00,SHORT,1.17687,1.17487,1.17778,1.17487,20.0,2.2,tp
2026-04-27 15:45:00,2026-04-28 06:00:00,SHORT,1.17307,1.17042,1.17395,1.17042,26.5,3.0,tp
2026-04-28 08:30:00,2026-04-28 12:00:00,SHORT,1.17043,1.16813,1.17119,1.16813,23.0,3.0,tp
2026-04-29 13:30:00,2026-04-29 14:30:00,SHORT,1.16882,1.16962,1.16962,1.16643,-8.0,-1.0,sl
2026-04-29 16:30:00,2026-04-30 04:15:00,SHORT,1.16897,1.16608,1.16993,1.16608,28.8,3.0,tp
2026-05-07 16:45:00,2026-05-07 19:45:00,SHORT,1.17606,1.17347,1.17693,1.17347,26.0,3.0,tp
2026-05-13 16:30:00,2026-05-14 06:45:00,SHORT,1.17139,1.17216,1.17216,1.16908,-7.7,-1.0,sl
2026-05-14 11:15:00,2026-05-14 14:45:00,SHORT,1.17053,1.16857,1.17118,1.16857,19.6,3.0,tp
2026-05-15 15:15:00,2026-05-15 17:15:00,SHORT,1.16257,1.16352,1.16352,1.15971,-9.5,-1.0,sl
2026-05-20 09:00:00,2026-05-20 10:30:00,SHORT,1.15909,1.15991,1.15991,1.15695,-8.2,-1.0,sl
2026-05-21 09:30:00,2026-05-21 11:45:00,SHORT,1.16287,1.16001,1.16398,1.16001,28.7,2.6,tp
2026-05-27 15:15:00,2026-05-28 03:30:00,SHORT,1.16306,1.15974,1.16417,1.15974,33.2,3.0,tp
2026-06-03 16:00:00,2026-06-03 22:45:00,SHORT,1.16036,1.16128,1.16128,1.15798,-9.2,-1.0,sl
