entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-14 13:15:00,2026-01-14 17:30:00,LONG,1.34412,1.34301,1.34315,1.34724,-11.2,-1.15,sl
2026-01-15 10:45:00,2026-01-15 10:45:00,LONG,1.3425,1.34141,1.34155,1.34551,-10.9,-1.15,sl
2026-01-16 13:15:00,2026-01-16 15:15:00,LONG,1.3394,1.33832,1.33847,1.34237,-10.7,-1.16,sl
2026-01-19 07:45:00,2026-01-19 14:30:00,LONG,1.3387,1.3415,1.33765,1.34165,28.0,2.66,tp
2026-01-22 08:30:00,2026-01-22 08:30:00,LONG,1.34218,1.34118,1.34133,1.34455,-9.9,-1.17,sl
2026-01-22 11:30:00,2026-01-22 15:00:00,LONG,1.34174,1.34516,1.34046,1.34531,34.3,2.69,tp
2026-01-26 08:00:00,2026-01-26 09:30:00,LONG,1.36472,1.36731,1.36357,1.36746,26.0,2.27,tp
2026-01-27 08:00:00,2026-01-27 08:00:00,LONG,1.36744,1.36645,1.3666,1.36945,-9.8,-1.17,sl
2026-02-03 19:00:00,2026-02-04 01:15:00,LONG,1.36774,1.3707,1.36663,1.37084,29.6,2.67,tp
2026-02-12 13:00:00,2026-02-12 14:00:00,LONG,1.36294,1.36515,1.36197,1.36529,22.0,2.25,tp
2026-02-12 16:15:00,2026-02-12 16:15:00,LONG,1.36318,1.36181,1.36196,1.3661,-13.6,-1.12,sl
2026-02-16 05:45:00,2026-02-16 08:00:00,LONG,1.36372,1.36553,1.3631,1.36568,18.2,2.96,tp
2026-03-16 06:30:00,2026-03-16 07:30:00,LONG,1.3245,1.32357,1.32371,1.327,-9.3,-1.19,sl
2026-03-19 05:15:00,2026-03-19 05:30:00,LONG,1.3271,1.32612,1.32626,1.32977,-9.8,-1.17,sl
2026-04-03 05:30:00,2026-04-03 12:30:00,LONG,1.3224,1.32171,1.32186,1.32415,-6.9,-1.27,sl
2026-04-07 05:45:00,2026-04-07 06:15:00,LONG,1.32202,1.32377,1.32135,1.32391,17.4,2.59,tp
2026-04-07 15:45:00,2026-04-07 19:15:00,LONG,1.32404,1.32738,1.3228,1.32752,33.3,2.68,tp
2026-04-08 16:15:00,2026-04-08 17:15:00,LONG,1.34276,1.34123,1.34138,1.34664,-15.3,-1.1,sl
2026-04-10 16:45:00,2026-04-12 21:00:00,LONG,1.34492,1.34373,1.34388,1.34782,-11.8,-1.14,sl
2026-04-13 12:00:00,2026-04-13 13:30:00,LONG,1.34194,1.34455,1.34095,1.34469,26.1,2.65,tp
2026-04-14 16:00:00,2026-04-15 09:00:00,LONG,1.3562,1.35486,1.35501,1.35952,-13.3,-1.12,sl
2026-04-27 06:15:00,2026-04-27 08:00:00,LONG,1.35283,1.35449,1.35218,1.35463,16.6,2.58,tp
2026-04-27 14:00:00,2026-04-27 17:00:00,LONG,1.3545,1.35343,1.35357,1.35712,-10.8,-1.16,sl
2026-05-06 15:15:00,2026-05-06 16:00:00,LONG,1.35958,1.35827,1.35842,1.36285,-13.1,-1.12,sl
2026-05-11 06:00:00,2026-05-11 08:15:00,LONG,1.35842,1.36049,1.35773,1.36063,20.6,2.99,tp
2026-05-11 11:00:00,2026-05-11 13:00:00,LONG,1.35888,1.36162,1.35799,1.36176,27.3,3.04,tp
2026-05-25 07:30:00,2026-05-25 11:30:00,LONG,1.34742,1.34953,1.34671,1.34967,21.1,2.99,tp
2026-05-28 10:45:00,2026-05-28 12:30:00,LONG,1.33884,1.34132,1.33801,1.34147,24.9,3.02,tp
2026-06-12 06:45:00,2026-06-12 07:15:00,LONG,1.34,1.33905,1.3392,1.34226,-9.5,-1.18,sl
2026-06-16 14:30:00,2026-06-16 15:45:00,LONG,1.3408,1.3432,1.34001,1.34334,23.9,3.02,tp
2026-06-19 14:15:00,2026-06-21 21:00:00,LONG,1.32162,1.32055,1.32069,1.32461,-10.8,-1.16,sl
2026-06-25 06:45:00,2026-06-25 08:15:00,LONG,1.3171,1.31873,1.31646,1.31887,16.3,2.57,tp
2026-07-03 10:15:00,2026-07-03 13:45:00,LONG,1.33554,1.33444,1.33458,1.33824,-11.1,-1.15,sl
2026-07-10 08:00:00,2026-07-10 08:15:00,LONG,1.34218,1.34117,1.34131,1.34459,-10.1,-1.17,sl
2026-07-13 14:30:00,2026-07-13 14:30:00,LONG,1.33796,1.33662,1.33677,1.34127,-13.3,-1.12,sl
2026-07-22 10:00:00,2026-07-22 12:45:00,LONG,1.33696,1.33601,1.33616,1.33955,-9.5,-1.18,sl
2026-07-24 05:00:00,2026-07-24 07:00:00,LONG,1.33108,1.33276,1.3305,1.33291,16.9,2.95,tp
2026-08-04 05:15:00,2026-08-04 10:00:00,LONG,1.34224,1.34403,1.34164,1.34417,17.8,2.96,tp
2026-08-10 12:45:00,2026-08-10 14:00:00,LONG,1.34926,1.35124,1.3485,1.35138,19.8,2.61,tp
2026-08-17 15:00:00,2026-08-17 17:30:00,LONG,1.35532,1.35422,1.35436,1.35836,-11.0,-1.15,sl
2026-08-19 18:00:00,2026-08-20 08:15:00,LONG,1.3592,1.36287,1.35801,1.36301,36.6,3.08,tp
2026-08-20 17:15:00,2026-08-21 08:45:00,LONG,1.36252,1.36615,1.36135,1.3663,36.3,3.08,tp
2026-08-25 11:45:00,2026-08-25 13:00:00,LONG,1.36288,1.36502,1.36217,1.36517,21.4,3.0,tp
2026-08-27 04:45:00,2026-08-27 08:30:00,LONG,1.35874,1.35806,1.35821,1.36042,-6.7,-1.28,sl
2026-08-28 04:30:00,2026-08-28 07:15:00,LONG,1.35888,1.35823,1.35838,1.36051,-6.5,-1.29,sl
