entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 10:00:00,2026-01-05 13:15:00,LONG,1.34449,1.34323,1.34323,1.34761,-12.6,-1.0,sl
2026-01-12 13:45:00,2026-01-12 14:15:00,LONG,1.34797,1.34677,1.34677,1.35091,-12.0,-1.0,sl
2026-01-13 09:00:00,2026-01-13 10:30:00,LONG,1.34782,1.34697,1.34697,1.34969,-8.5,-1.0,sl
2026-01-14 09:15:00,2026-01-14 12:00:00,LONG,1.34515,1.34437,1.34437,1.34686,-7.9,-1.0,sl
2026-01-15 08:30:00,2026-01-15 10:15:00,LONG,1.34395,1.34306,1.34306,1.34597,-8.9,-1.0,sl
2026-01-16 13:45:00,2026-01-16 14:30:00,LONG,1.34052,1.33954,1.33954,1.3428,-9.8,-1.0,sl
2026-01-21 09:45:00,2026-01-21 12:30:00,SHORT,1.34134,1.34232,1.34232,1.33907,-9.8,-1.0,sl
2026-01-26 14:00:00,2026-01-26 14:45:00,LONG,1.36635,1.36891,1.36514,1.36891,25.6,2.13,tp
2026-01-27 06:30:00,2026-01-27 07:00:00,LONG,1.3688,1.36796,1.36796,1.37039,-8.3,-1.0,sl
2026-01-29 13:00:00,2026-01-29 13:45:00,LONG,1.38152,1.38023,1.38023,1.38434,-12.9,-1.0,sl
2026-01-30 08:00:00,2026-01-30 08:30:00,LONG,1.37737,1.37591,1.37591,1.3806,-14.5,-1.0,sl
2026-02-02 14:45:00,2026-02-02 15:00:00,LONG,1.36619,1.3647,1.3647,1.3695,-14.9,-1.0,sl
2026-02-03 15:45:00,2026-02-03 18:30:00,LONG,1.36981,1.36834,1.36834,1.37308,-14.7,-1.0,sl
2026-02-06 10:00:00,2026-02-06 10:15:00,LONG,1.35818,1.35718,1.35718,1.3603,-10.0,-1.0,sl
2026-02-09 05:30:00,2026-02-09 06:15:00,LONG,1.3615,1.36062,1.36062,1.36357,-8.8,-1.0,sl
2026-02-11 16:00:00,2026-02-11 16:30:00,SHORT,1.36313,1.36504,1.36504,1.35788,-19.2,-1.0,sl
2026-02-11 19:00:00,2026-02-12 09:15:00,SHORT,1.36366,1.36524,1.36524,1.35951,-15.8,-1.0,sl
2026-02-13 05:30:00,2026-02-13 07:00:00,SHORT,1.36085,1.35914,1.36161,1.35914,17.1,2.25,tp
2026-02-17 11:15:00,2026-02-17 12:15:00,SHORT,1.35859,1.356,1.356,1.35591,26.0,2.44,trail
2026-02-19 14:15:00,2026-02-19 15:00:00,SHORT,1.34382,1.34518,1.34518,1.34028,-13.6,-1.0,sl
2026-02-19 16:00:00,2026-02-19 21:30:00,SHORT,1.3452,1.34673,1.34673,1.34113,-15.4,-1.0,sl
2026-03-02 14:45:00,2026-03-02 15:15:00,LONG,1.34145,1.33946,1.33946,1.34544,-19.9,-1.0,sl
2026-03-03 15:45:00,2026-03-03 18:15:00,LONG,1.32962,1.33393,1.32749,1.33393,43.1,2.02,tp
2026-03-04 07:00:00,2026-03-04 07:30:00,LONG,1.33403,1.33698,1.33698,1.33668,29.4,2.12,trail
2026-03-06 13:15:00,2026-03-06 13:30:00,LONG,1.33467,1.33789,1.33789,1.3378,32.2,2.02,trail
2026-03-13 06:00:00,2026-03-13 07:00:00,SHORT,1.33306,1.32982,1.32982,1.33124,32.4,4.08,trail
2026-03-17 06:00:00,2026-03-17 07:00:00,SHORT,1.32852,1.32939,1.32939,1.32649,-8.7,-1.0,sl
2026-03-20 05:30:00,2026-03-20 07:00:00,SHORT,1.34056,1.34136,1.34136,1.33874,-8.1,-1.0,sl
2026-03-20 09:45:00,2026-03-20 10:00:00,SHORT,1.33962,1.33685,1.33685,1.33696,27.7,2.55,trail
2026-03-23 12:45:00,2026-03-23 16:00:00,LONG,1.34215,1.33792,1.33792,1.35422,-42.2,-1.0,sl
2026-03-25 08:15:00,2026-03-25 09:15:00,LONG,1.34128,1.33972,1.33972,1.34537,-15.6,-1.0,sl
2026-03-26 13:15:00,2026-03-26 17:30:00,LONG,1.33457,1.33314,1.33314,1.33826,-14.3,-1.0,sl
2026-03-27 13:30:00,2026-03-27 15:15:00,LONG,1.32913,1.33215,1.33215,1.33229,30.2,2.4,trail
2026-03-31 11:45:00,2026-03-31 14:00:00,LONG,1.32314,1.32623,1.32175,1.32623,30.9,2.23,tp
