entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-06 07:15:00,2026-01-06 09:00:00,SHORT,1.17367,1.1721,1.1721,1.17213,15.7,2.23,trail
2026-01-07 15:00:00,2026-01-07 22:00:00,SHORT,1.1695,1.16781,1.16781,1.16739,16.9,1.87,trail
2026-01-08 06:00:00,2026-01-08 08:30:00,SHORT,1.16812,1.16727,1.16727,1.16712,8.5,1.59,trail
2026-01-09 13:45:00,2026-01-09 14:15:00,SHORT,1.16551,1.16398,1.16398,1.16307,15.3,1.51,trail
2026-01-12 13:15:00,2026-01-12 17:15:00,SHORT,1.16911,1.16719,1.16719,1.16642,19.2,1.75,trail
2026-01-13 09:00:00,2026-01-13 13:15:00,SHORT,1.16678,1.16543,1.16543,1.16505,13.5,1.74,trail
2026-01-15 10:45:00,2026-01-15 12:45:00,SHORT,1.16373,1.16243,1.16243,1.16215,13.0,1.79,trail
2026-01-23 16:00:00,2026-01-23 16:30:00,SHORT,1.1757,1.17654,1.17654,1.17375,-8.5,-1.0,sl
2026-01-26 05:30:00,2026-01-26 07:45:00,SHORT,1.18659,1.18423,1.18423,1.18361,23.6,1.98,trail
2026-01-27 10:00:00,2026-01-27 11:45:00,SHORT,1.18876,1.18976,1.18976,1.18637,-10.0,-1.0,sl
2026-01-28 07:15:00,2026-01-28 07:30:00,SHORT,1.20197,1.19943,1.19943,1.19873,25.4,1.98,trail
2026-01-29 05:45:00,2026-01-29 07:00:00,SHORT,1.19841,1.19947,1.19947,1.19583,-10.6,-1.0,sl
2026-01-30 12:00:00,2026-01-30 12:45:00,SHORT,1.19474,1.19214,1.19214,1.19137,26.0,1.96,trail
2026-02-03 17:30:00,2026-02-04 01:45:00,SHORT,1.1817,1.18295,1.18295,1.17854,-12.5,-1.0,sl
2026-02-04 06:45:00,2026-02-04 09:30:00,SHORT,1.18319,1.18204,1.18204,1.18142,11.5,1.46,trail
2026-02-05 08:15:00,2026-02-05 09:15:00,SHORT,1.18043,1.17908,1.17908,1.17835,13.6,1.52,trail
2026-02-10 09:30:00,2026-02-10 12:30:00,SHORT,1.19181,1.19037,1.19037,1.18935,14.4,1.42,trail
2026-02-10 14:30:00,2026-02-10 15:30:00,SHORT,1.19201,1.19021,1.19021,1.18924,18.0,1.6,trail
2026-02-11 08:00:00,2026-02-11 10:30:00,SHORT,1.19164,1.19248,1.19248,1.1897,-8.5,-1.0,sl
2026-02-11 11:00:00,2026-02-11 12:00:00,SHORT,1.19202,1.19077,1.19077,1.19014,12.5,1.53,trail
2026-02-12 09:30:00,2026-02-12 16:15:00,SHORT,1.18839,1.18669,1.18669,1.18594,17.0,1.69,trail
2026-02-13 14:00:00,2026-02-13 15:45:00,SHORT,1.18726,1.18533,1.18533,1.18441,19.4,1.7,trail
2026-02-16 06:45:00,2026-02-16 08:30:00,SHORT,1.1869,1.18603,1.18603,1.18563,8.6,1.41,trail
2026-02-17 18:30:00,2026-02-17 23:00:00,SHORT,1.18469,1.18576,1.18576,1.18204,-10.7,-1.0,sl
2026-02-18 13:15:00,2026-02-18 13:45:00,SHORT,1.18435,1.18281,1.18281,1.18243,15.4,1.84,trail
2026-02-23 06:45:00,2026-02-23 08:45:00,SHORT,1.18267,1.18119,1.18119,1.18042,14.8,1.56,trail
2026-02-24 10:00:00,2026-02-24 13:45:00,SHORT,1.17865,1.17727,1.17727,1.17651,13.9,1.52,trail
2026-02-24 17:15:00,2026-02-25 03:00:00,SHORT,1.17841,1.17947,1.17947,1.1758,-10.6,-1.0,sl
2026-02-25 15:15:00,2026-02-25 16:00:00,SHORT,1.17969,1.18066,1.18066,1.17737,-9.6,-1.0,sl
2026-02-26 06:15:00,2026-02-26 08:00:00,SHORT,1.1818,1.18073,1.18073,1.18026,10.7,1.52,trail
2026-02-26 13:30:00,2026-02-26 15:15:00,SHORT,1.1811,1.17857,1.17857,1.1793,25.3,3.21,trail
2026-02-27 14:45:00,2026-02-27 16:15:00,SHORT,1.18118,1.18222,1.18222,1.17863,-10.4,-1.0,sl
2026-02-27 17:15:00,2026-03-01 22:00:00,SHORT,1.18187,1.17704,1.17704,1.17877,48.3,3.95,trail
2026-03-03 18:45:00,2026-03-04 01:15:00,SHORT,1.16156,1.15836,1.15836,1.15609,31.9,1.59,trail
2026-03-05 09:15:00,2026-03-05 10:30:00,SHORT,1.16393,1.16148,1.16148,1.15935,24.5,1.43,trail
2026-03-06 16:45:00,2026-03-08 21:00:00,SHORT,1.16069,1.15538,1.15538,1.15522,53.1,2.64,trail
2026-03-10 15:45:00,2026-03-10 17:15:00,SHORT,1.16524,1.16672,1.16672,1.16136,-14.8,-1.0,sl
2026-03-12 09:45:00,2026-03-12 12:15:00,SHORT,1.1558,1.15417,1.15417,1.15342,16.3,1.65,trail
2026-03-20 08:30:00,2026-03-20 09:30:00,SHORT,1.15757,1.15604,1.15604,1.15531,15.4,1.63,trail
2026-03-20 11:45:00,2026-03-20 13:00:00,SHORT,1.15771,1.15594,1.15594,1.15458,17.7,1.43,trail
2026-03-23 15:30:00,2026-03-23 18:30:00,SHORT,1.16073,1.16328,1.16328,1.15364,-25.5,-1.0,sl
2026-03-25 08:30:00,2026-03-25 09:30:00,SHORT,1.16123,1.15965,1.15965,1.15875,15.8,1.56,trail
2026-03-25 12:15:00,2026-03-25 12:15:00,SHORT,1.16091,1.15928,1.15928,1.15835,16.3,1.56,trail
2026-03-27 05:15:00,2026-03-27 07:00:00,SHORT,1.15442,1.15333,1.15333,1.15306,11.0,1.7,trail
2026-03-27 15:45:00,2026-03-27 16:30:00,SHORT,1.15355,1.15201,1.15201,1.15085,15.4,1.41,trail
2026-03-30 06:45:00,2026-03-30 07:15:00,SHORT,1.15179,1.15044,1.15044,1.14988,13.5,1.63,trail
2026-04-02 14:45:00,2026-04-03 02:45:00,SHORT,1.15503,1.1537,1.15648,1.15126,13.3,0.92,timeout
2026-04-03 09:30:00,2026-04-03 10:45:00,SHORT,1.15438,1.15493,1.15493,1.15328,-5.6,-1.0,sl
2026-04-06 05:30:00,2026-04-06 06:45:00,SHORT,1.15259,1.15324,1.15324,1.15122,-6.5,-1.0,sl
2026-04-06 13:00:00,2026-04-06 13:30:00,SHORT,1.15524,1.15605,1.15605,1.15337,-8.1,-1.0,sl
