entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-06 07:45:00,2026-01-06 08:15:00,SHORT,1.17332,1.17378,1.1737,1.17236,-4.6,-1.21,sl
2026-01-12 14:45:00,2026-01-12 17:00:00,LONG,1.16765,1.16691,1.16699,1.16963,-7.4,-1.12,sl
2026-01-12 18:15:00,2026-01-12 20:45:00,LONG,1.16679,1.16615,1.16623,1.16846,-6.4,-1.14,sl
2026-01-13 06:45:00,2026-01-13 08:00:00,LONG,1.16549,1.16644,1.16515,1.16652,9.5,2.77,tp
2026-01-13 10:15:00,2026-01-13 12:45:00,SHORT,1.167,1.16581,1.16742,1.16573,11.9,2.81,tp
2026-01-14 07:15:00,2026-01-14 09:15:00,SHORT,1.16476,1.16509,1.16501,1.164,-3.3,-1.31,sl
2026-01-14 10:45:00,2026-01-14 12:45:00,SHORT,1.16526,1.16571,1.16563,1.16414,-4.5,-1.21,sl
2026-01-15 10:00:00,2026-01-15 10:15:00,SHORT,1.1634,1.16386,1.16378,1.16225,-4.6,-1.21,sl
2026-01-16 12:00:00,2026-01-16 15:00:00,SHORT,1.16175,1.1622,1.16212,1.16064,-4.5,-1.22,sl
2026-01-19 09:15:00,2026-01-19 09:30:00,SHORT,1.16159,1.16229,1.16221,1.16004,-7.0,-1.13,sl
2026-01-19 14:00:00,2026-01-19 14:15:00,SHORT,1.16297,1.16352,1.16344,1.16178,-5.5,-1.17,sl
2026-01-20 13:30:00,2026-01-20 13:45:00,SHORT,1.17199,1.17284,1.17276,1.17007,-8.5,-1.1,sl
2026-01-21 08:00:00,2026-01-21 09:45:00,SHORT,1.17154,1.17027,1.17208,1.17019,12.7,2.35,tp
2026-01-21 17:15:00,2026-01-21 19:15:00,SHORT,1.17079,1.16872,1.17165,1.16864,20.7,2.41,tp
2026-01-22 07:15:00,2026-01-22 07:30:00,SHORT,1.16835,1.16883,1.16875,1.16734,-4.8,-1.2,sl
2026-01-22 11:15:00,2026-01-22 11:30:00,SHORT,1.16923,1.16982,1.16974,1.16794,-5.9,-1.16,sl
2026-01-23 08:00:00,2026-01-23 08:15:00,LONG,1.17357,1.17305,1.17313,1.17468,-5.2,-1.18,sl
2026-01-28 11:45:00,2026-01-28 13:45:00,LONG,1.19666,1.19552,1.1956,1.19931,-11.4,-1.08,sl
2026-01-28 15:15:00,2026-01-28 16:30:00,LONG,1.19374,1.19234,1.19242,1.19705,-14.0,-1.06,sl
2026-01-30 05:45:00,2026-01-30 07:45:00,LONG,1.19154,1.19383,1.19059,1.19391,22.9,2.42,tp
2026-01-30 16:30:00,2026-01-30 17:15:00,LONG,1.18793,1.18668,1.18676,1.19086,-12.5,-1.07,sl
2026-02-03 07:15:00,2026-02-03 07:45:00,LONG,1.18191,1.18136,1.18144,1.18308,-5.5,-1.17,sl
2026-02-03 16:00:00,2026-02-03 19:00:00,LONG,1.1813,1.18043,1.18051,1.18327,-8.7,-1.1,sl
2026-02-04 06:15:00,2026-02-04 06:30:00,LONG,1.18355,1.18305,1.18313,1.18459,-5.0,-1.19,sl
2026-02-05 08:15:00,2026-02-05 08:30:00,LONG,1.18055,1.17997,1.18005,1.1818,-5.8,-1.16,sl
2026-02-05 14:15:00,2026-02-05 14:30:00,LONG,1.18203,1.18115,1.18123,1.18404,-8.8,-1.1,sl
2026-02-06 13:45:00,2026-02-06 14:30:00,LONG,1.1803,1.18139,1.17983,1.18147,10.9,2.33,tp
2026-02-06 16:45:00,2026-02-06 17:00:00,LONG,1.18165,1.18093,1.18101,1.18325,-7.2,-1.12,sl
2026-02-10 05:30:00,2026-02-10 06:00:00,SHORT,1.19051,1.19105,1.19097,1.18912,-5.4,-1.17,sl
2026-02-10 08:45:00,2026-02-10 09:15:00,SHORT,1.1912,1.19192,1.19184,1.18929,-7.2,-1.13,sl
2026-02-12 15:15:00,2026-02-12 16:15:00,SHORT,1.18836,1.18621,1.1891,1.18613,21.5,2.89,tp
2026-02-13 13:15:00,2026-02-13 13:30:00,SHORT,1.18597,1.18657,1.18649,1.18442,-6.0,-1.15,sl
2026-02-16 18:30:00,2026-02-17 00:30:00,LONG,1.18482,1.1844,1.18448,1.18567,-4.2,-1.24,sl
2026-02-17 12:00:00,2026-02-17 12:45:00,LONG,1.18307,1.18255,1.18263,1.18417,-5.2,-1.18,sl
2026-02-18 07:45:00,2026-02-18 08:00:00,LONG,1.18346,1.18308,1.18316,1.18421,-3.8,-1.27,sl
2026-02-20 05:15:00,2026-02-20 07:00:00,LONG,1.17519,1.17596,1.17485,1.17604,7.7,2.26,tp
2026-02-20 13:30:00,2026-02-20 13:45:00,SHORT,1.17742,1.17618,1.17795,1.1761,12.4,2.35,tp
2026-02-23 13:30:00,2026-02-23 20:15:00,LONG,1.17927,1.17863,1.17871,1.18094,-6.4,-1.14,sl
2026-02-25 05:45:00,2026-02-25 06:00:00,LONG,1.18044,1.17997,1.18005,1.18162,-4.7,-1.2,sl
2026-03-02 05:15:00,2026-03-02 06:15:00,SHORT,1.17739,1.17498,1.17817,1.1749,24.1,3.1,tp
2026-03-03 05:30:00,2026-03-03 05:45:00,LONG,1.16801,1.16725,1.16733,1.17019,-7.6,-1.12,sl
2026-03-04 18:30:00,2026-03-04 19:45:00,SHORT,1.16236,1.16346,1.16338,1.15909,-11.0,-1.08,sl
2026-03-05 15:15:00,2026-03-05 16:15:00,SHORT,1.15992,1.15616,1.16112,1.15608,37.6,3.13,tp
2026-03-06 11:15:00,2026-03-06 11:30:00,LONG,1.15804,1.15707,1.15715,1.16089,-9.7,-1.09,sl
2026-03-06 14:30:00,2026-03-06 16:15:00,LONG,1.15575,1.16005,1.15438,1.16013,43.0,3.14,tp
2026-03-09 16:00:00,2026-03-09 19:15:00,SHORT,1.15899,1.16019,1.16011,1.15564,-12.0,-1.07,sl
2026-03-10 06:45:00,2026-03-10 07:00:00,SHORT,1.16336,1.16403,1.16395,1.1616,-6.7,-1.14,sl
2026-03-10 15:00:00,2026-03-10 17:00:00,SHORT,1.16466,1.16566,1.16558,1.1619,-10.0,-1.09,sl
2026-03-12 09:30:00,2026-03-12 09:45:00,SHORT,1.15533,1.15599,1.15591,1.15358,-6.6,-1.14,sl
2026-03-12 12:30:00,2026-03-12 13:00:00,SHORT,1.15385,1.15458,1.1545,1.15189,-7.3,-1.12,sl
2026-03-13 13:30:00,2026-03-13 13:45:00,SHORT,1.14755,1.14856,1.14848,1.14477,-10.1,-1.09,sl
2026-03-16 18:15:00,2026-03-16 18:30:00,SHORT,1.15035,1.15131,1.15123,1.14815,-9.6,-1.09,sl
2026-03-18 11:15:00,2026-03-18 11:30:00,SHORT,1.15471,1.15338,1.15528,1.1533,13.3,2.36,tp
2026-03-18 18:45:00,2026-03-18 20:00:00,SHORT,1.14891,1.14659,1.14987,1.14651,23.2,2.42,tp
2026-03-19 12:45:00,2026-03-19 13:00:00,SHORT,1.14835,1.1495,1.14942,1.14569,-11.5,-1.08,sl
2026-03-19 17:00:00,2026-03-19 17:15:00,SHORT,1.15339,1.15492,1.15484,1.14976,-15.3,-1.06,sl
2026-03-20 08:30:00,2026-03-20 09:30:00,SHORT,1.15753,1.15625,1.15807,1.15617,12.8,2.35,tp
2026-03-20 18:30:00,2026-03-22 21:00:00,SHORT,1.15652,1.15397,1.15757,1.15389,25.5,2.42,tp
2026-03-30 04:30:00,2026-03-30 07:00:00,SHORT,1.15174,1.15032,1.15221,1.15024,14.2,3.03,tp
2026-03-31 11:45:00,2026-03-31 12:00:00,SHORT,1.14846,1.14926,1.14918,1.14616,-8.0,-1.11,sl
2026-04-01 11:45:00,2026-04-01 12:00:00,SHORT,1.16006,1.16094,1.16086,1.15751,-8.8,-1.1,sl
2026-04-03 07:45:00,2026-04-03 10:45:00,SHORT,1.15434,1.1547,1.15462,1.15346,-3.6,-1.29,sl
