entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-07 06:45:00,2026-04-07 07:30:00,SHORT,1.32414,1.32274,1.32473,1.32264,13.9,2.32,tp
2026-04-09 09:00:00,2026-04-09 09:15:00,SHORT,1.34016,1.34098,1.34087,1.33837,-8.2,-1.15,sl
2026-04-10 09:00:00,2026-04-10 09:15:00,SHORT,1.3419,1.34259,1.34249,1.34041,-7.0,-1.18,sl
2026-04-27 07:45:00,2026-04-27 08:45:00,LONG,1.35378,1.35542,1.35324,1.35552,16.3,3.01,tp
2026-04-27 13:30:00,2026-04-27 13:45:00,LONG,1.35558,1.35474,1.35484,1.35796,-8.5,-1.14,sl
2026-04-30 12:15:00,2026-04-30 14:15:00,LONG,1.3509,1.3542,1.34984,1.3543,32.9,3.1,tp
2026-05-01 10:45:00,2026-05-01 12:00:00,LONG,1.36046,1.36262,1.35976,1.36272,21.5,3.05,tp
2026-05-01 15:15:00,2026-05-01 15:45:00,LONG,1.3629,1.36173,1.36183,1.36629,-11.7,-1.1,sl
2026-05-05 12:15:00,2026-05-05 15:30:00,LONG,1.35422,1.35704,1.3533,1.35714,28.2,3.09,tp
2026-05-06 12:30:00,2026-05-06 13:00:00,LONG,1.36192,1.36065,1.36075,1.36568,-12.8,-1.09,sl
2026-05-07 07:00:00,2026-05-07 07:15:00,LONG,1.36,1.36178,1.3594,1.36188,17.8,3.02,tp
2026-05-07 12:00:00,2026-05-07 15:15:00,LONG,1.36182,1.36099,1.3611,1.36411,-8.2,-1.15,sl
2026-05-08 14:30:00,2026-05-10 21:00:00,LONG,1.3611,1.36005,1.36016,1.36413,-10.5,-1.11,sl
2026-05-11 05:45:00,2026-05-11 06:45:00,LONG,1.3583,1.35963,1.35772,1.35973,13.3,2.32,tp
2026-05-11 11:00:00,2026-05-11 11:15:00,LONG,1.35884,1.36081,1.35802,1.36091,19.6,2.37,tp
2026-05-13 11:00:00,2026-05-13 12:15:00,LONG,1.35072,1.34945,1.34956,1.35361,-12.6,-1.09,sl
2026-05-19 09:15:00,2026-05-19 10:15:00,LONG,1.33898,1.3409,1.33818,1.341,19.1,2.37,tp
2026-05-25 13:00:00,2026-05-25 15:00:00,SHORT,1.34986,1.35044,1.35033,1.34869,-5.7,-1.22,sl
2026-05-26 10:45:00,2026-05-26 11:00:00,SHORT,1.34804,1.34866,1.34856,1.34673,-6.3,-1.2,sl
2026-06-08 17:45:00,2026-06-08 18:00:00,SHORT,1.33424,1.33502,1.33492,1.33256,-7.8,-1.16,sl
2026-06-10 05:30:00,2026-06-10 05:45:00,SHORT,1.33836,1.33895,1.33884,1.33714,-5.9,-1.22,sl
2026-06-10 08:45:00,2026-06-10 09:30:00,SHORT,1.33872,1.33938,1.33928,1.33734,-6.6,-1.19,sl
