entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 05:30:00,2026-01-05 05:55:00,SHORT,1.16818,1.16855,1.16847,1.16726,-3.7,-1.28,sl
2026-01-05 06:50:00,2026-01-05 08:20:00,SHORT,1.16896,1.16931,1.16923,1.16809,-3.5,-1.3,sl
2026-01-05 08:30:00,2026-01-05 08:40:00,SHORT,1.16926,1.16827,1.16959,1.16819,9.9,2.96,tp
2026-01-05 15:00:00,2026-01-05 15:05:00,SHORT,1.16844,1.16895,1.16887,1.16707,-5.1,-1.19,sl
2026-01-06 12:25:00,2026-01-06 12:55:00,SHORT,1.17081,1.16986,1.17113,1.16978,9.5,2.95,tp
2026-01-06 14:10:00,2026-01-06 14:20:00,SHORT,1.17139,1.1703,1.17175,1.17022,10.9,2.98,tp
2026-01-06 18:05:00,2026-01-06 19:00:00,SHORT,1.16994,1.16868,1.17036,1.1686,12.6,3.01,tp
2026-01-07 06:30:00,2026-01-07 06:50:00,SHORT,1.16936,1.16964,1.16956,1.16874,-2.8,-1.41,sl
2026-01-07 09:45:00,2026-01-07 10:00:00,SHORT,1.16838,1.16876,1.16868,1.16743,-3.8,-1.27,sl
2026-01-07 13:05:00,2026-01-07 13:30:00,SHORT,1.16859,1.16898,1.1689,1.1676,-3.9,-1.26,sl
2026-01-07 17:10:00,2026-01-07 21:05:00,SHORT,1.16898,1.16771,1.1694,1.16763,12.7,3.01,tp
2026-01-08 10:05:00,2026-01-08 10:10:00,SHORT,1.16759,1.16793,1.16785,1.16677,-3.4,-1.31,sl
2026-01-08 15:55:00,2026-01-08 16:20:00,SHORT,1.16667,1.16562,1.16702,1.16554,10.5,2.97,tp
2026-01-08 18:25:00,2026-01-08 20:00:00,SHORT,1.16481,1.16523,1.16515,1.16373,-4.2,-1.24,sl
2026-01-09 09:00:00,2026-01-09 10:20:00,SHORT,1.16474,1.16399,1.165,1.16391,7.5,2.89,tp
2026-01-09 11:00:00,2026-01-09 13:30:00,SHORT,1.16452,1.16487,1.16479,1.16366,-3.5,-1.3,sl
2026-01-12 18:35:00,2026-01-12 19:20:00,SHORT,1.16692,1.16731,1.16723,1.16592,-3.9,-1.26,sl
2026-01-13 07:35:00,2026-01-13 07:55:00,SHORT,1.16617,1.16644,1.16636,1.16555,-2.7,-1.41,sl
2026-01-13 13:40:00,2026-01-13 13:45:00,SHORT,1.16602,1.16641,1.16633,1.16503,-3.9,-1.26,sl
2026-01-13 18:55:00,2026-01-13 21:10:00,SHORT,1.16525,1.16432,1.16557,1.16424,9.3,2.95,tp
2026-01-15 06:05:00,2026-01-15 06:10:00,SHORT,1.16355,1.16379,1.16371,1.16305,-2.4,-1.51,sl
2026-01-15 08:25:00,2026-01-15 08:30:00,SHORT,1.16311,1.16339,1.16331,1.16248,-2.8,-1.41,sl
2026-01-15 10:35:00,2026-01-15 11:45:00,SHORT,1.16387,1.16323,1.16409,1.16315,6.4,2.84,tp
2026-01-15 17:35:00,2026-01-15 19:15:00,SHORT,1.16113,1.16153,1.16145,1.16012,-4.0,-1.25,sl
2026-01-16 07:10:00,2026-01-16 07:15:00,SHORT,1.1608,1.16103,1.16095,1.16033,-2.3,-1.54,sl
2026-01-21 05:25:00,2026-01-21 06:40:00,SHORT,1.17188,1.17223,1.17215,1.17078,-3.5,-1.29,sl
2026-01-21 06:55:00,2026-01-21 07:35:00,SHORT,1.17226,1.17133,1.17251,1.17125,9.3,3.68,tp
2026-01-21 09:30:00,2026-01-21 11:25:00,SHORT,1.17096,1.17138,1.1713,1.16962,-4.2,-1.24,sl
2026-01-21 12:10:00,2026-01-21 12:15:00,SHORT,1.17148,1.17191,1.17183,1.17009,-4.3,-1.23,sl
2026-01-23 05:05:00,2026-01-23 05:10:00,SHORT,1.17489,1.17516,1.17508,1.17411,-2.7,-1.41,sl
2026-01-23 09:40:00,2026-01-23 13:15:00,SHORT,1.17417,1.1746,1.17452,1.17276,-4.3,-1.23,sl
2026-01-23 14:40:00,2026-01-23 14:45:00,SHORT,1.17423,1.17463,1.17455,1.17293,-4.0,-1.25,sl
2026-01-26 05:40:00,2026-01-26 07:40:00,SHORT,1.18646,1.18489,1.18698,1.18481,15.7,3.05,tp
2026-01-26 09:40:00,2026-01-26 09:45:00,SHORT,1.18578,1.18644,1.18636,1.18393,-6.6,-1.14,sl
2026-01-26 14:20:00,2026-01-26 14:25:00,SHORT,1.18609,1.18665,1.18657,1.18456,-5.6,-1.17,sl
2026-01-28 06:00:00,2026-01-28 06:15:00,SHORT,1.19953,1.20017,1.20009,1.19774,-6.4,-1.14,sl
2026-01-28 10:55:00,2026-01-28 11:20:00,SHORT,1.19875,1.19658,1.19945,1.1965,21.7,3.09,tp
2026-01-28 14:40:00,2026-01-28 15:05:00,SHORT,1.19727,1.19524,1.19793,1.19516,20.3,3.08,tp
2026-01-29 13:10:00,2026-01-29 13:45:00,SHORT,1.19655,1.19496,1.19707,1.19488,15.9,3.05,tp
2026-01-29 15:00:00,2026-01-29 15:10:00,SHORT,1.19685,1.19482,1.19751,1.19474,20.3,3.08,tp
2026-01-29 17:40:00,2026-01-29 18:35:00,SHORT,1.19529,1.19622,1.19614,1.19257,-9.3,-1.09,sl
2026-01-30 05:20:00,2026-01-30 06:55:00,SHORT,1.19321,1.19137,1.19381,1.19129,18.4,3.07,tp
2026-01-30 07:55:00,2026-01-30 08:00:00,SHORT,1.19338,1.19408,1.194,1.1914,-7.0,-1.13,sl
2026-02-02 07:30:00,2026-02-02 08:55:00,SHORT,1.18614,1.18454,1.18667,1.18446,16.0,3.05,tp
2026-02-02 14:55:00,2026-02-02 15:00:00,SHORT,1.18262,1.18081,1.18321,1.18073,18.1,3.06,tp
2026-02-02 17:10:00,2026-02-02 18:05:00,SHORT,1.18103,1.17902,1.18168,1.17894,20.1,3.08,tp
2026-02-03 11:35:00,2026-02-03 12:45:00,SHORT,1.17929,1.17984,1.17976,1.17778,-5.5,-1.17,sl
2026-02-03 13:10:00,2026-02-03 13:15:00,SHORT,1.1799,1.18041,1.18033,1.17852,-5.1,-1.18,sl
2026-02-03 15:25:00,2026-02-03 15:30:00,SHORT,1.18018,1.18078,1.1807,1.17851,-6.0,-1.15,sl
2026-02-04 12:45:00,2026-02-04 13:15:00,SHORT,1.18216,1.18263,1.18255,1.18091,-4.7,-1.21,sl
2026-02-04 15:15:00,2026-02-04 15:30:00,SHORT,1.18189,1.18031,1.18241,1.18023,15.8,3.05,tp
2026-02-04 17:10:00,2026-02-05 02:15:00,SHORT,1.18086,1.1791,1.18143,1.17902,17.6,3.06,tp
2026-02-05 07:15:00,2026-02-05 07:25:00,SHORT,1.17948,1.17986,1.17978,1.17852,-3.8,-1.27,sl
2026-02-05 10:55:00,2026-02-05 11:20:00,SHORT,1.17867,1.17912,1.17904,1.17747,-4.5,-1.21,sl
2026-02-05 12:40:00,2026-02-05 12:45:00,SHORT,1.17949,1.17997,1.17989,1.17821,-4.8,-1.2,sl
2026-02-05 16:50:00,2026-02-05 21:00:00,SHORT,1.17971,1.17779,1.18033,1.17771,19.2,3.07,tp
2026-02-10 06:15:00,2026-02-10 07:35:00,SHORT,1.19072,1.18997,1.19098,1.18989,7.5,2.89,tp
2026-02-10 08:05:00,2026-02-10 08:20:00,SHORT,1.191,1.19009,1.19131,1.19001,9.1,2.94,tp
2026-02-11 15:10:00,2026-02-11 16:35:00,SHORT,1.18695,1.18775,1.18767,1.18463,-8.0,-1.11,sl
2026-02-11 17:25:00,2026-02-11 22:00:00,SHORT,1.18878,1.18668,1.18946,1.1866,21.0,3.08,tp
2026-02-12 05:55:00,2026-02-12 06:10:00,SHORT,1.18629,1.18668,1.1866,1.18528,-3.9,-1.25,sl
2026-02-12 08:20:00,2026-02-12 08:30:00,SHORT,1.18742,1.18788,1.1878,1.18619,-4.6,-1.21,sl
2026-02-13 05:40:00,2026-02-13 06:30:00,SHORT,1.1863,1.18561,1.18654,1.18553,6.9,2.87,tp
2026-02-13 09:05:00,2026-02-13 10:20:00,SHORT,1.18639,1.18551,1.18669,1.18543,8.8,2.93,tp
2026-02-13 12:40:00,2026-02-13 13:00:00,SHORT,1.18608,1.18647,1.18639,1.1851,-3.9,-1.26,sl
2026-02-16 06:10:00,2026-02-16 06:15:00,SHORT,1.18638,1.18666,1.18658,1.18574,-2.8,-1.4,sl
2026-02-16 09:15:00,2026-02-16 12:20:00,SHORT,1.1866,1.18574,1.18689,1.18566,8.6,2.93,tp
