entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-15 13:30:00,2026-04-15 14:15:00,SHORT,1.35638,1.35698,1.35687,1.35483,-5.9,-1.22,sl
2026-04-21 06:00:00,2026-04-21 06:05:00,SHORT,1.35155,1.35191,1.3518,1.35077,-3.5,-1.43,sl
2026-04-22 17:00:00,2026-04-22 17:05:00,SHORT,1.35024,1.35084,1.35074,1.34862,-6.1,-1.21,sl
2026-04-23 06:30:00,2026-04-23 06:35:00,SHORT,1.34856,1.34897,1.34886,1.34761,-4.0,-1.35,sl
2026-04-23 07:35:00,2026-04-23 07:45:00,SHORT,1.34822,1.34868,1.34857,1.34706,-4.6,-1.29,sl
2026-04-28 15:45:00,2026-04-28 16:05:00,SHORT,1.3507,1.35129,1.35119,1.34902,-5.9,-1.22,sl
2026-04-28 16:50:00,2026-04-28 16:55:00,SHORT,1.351,1.35154,1.35143,1.3495,-5.3,-1.24,sl
2026-04-29 11:00:00,2026-04-29 12:20:00,SHORT,1.35096,1.35137,1.35127,1.3499,-4.1,-1.35,sl
2026-05-12 08:05:00,2026-05-12 08:20:00,SHORT,1.35116,1.35171,1.35161,1.34975,-5.5,-1.24,sl
2026-05-12 16:45:00,2026-05-12 17:20:00,SHORT,1.35189,1.35271,1.35261,1.34962,-8.2,-1.15,sl
2026-05-13 04:30:00,2026-05-13 05:00:00,SHORT,1.35318,1.35359,1.35349,1.35218,-4.2,-1.34,sl
2026-05-13 09:05:00,2026-05-13 10:10:00,SHORT,1.35182,1.35047,1.35227,1.35036,13.5,2.97,tp
2026-05-13 12:00:00,2026-05-13 12:05:00,SHORT,1.35016,1.35079,1.35069,1.34845,-6.4,-1.2,sl
2026-05-13 13:30:00,2026-05-13 13:35:00,SHORT,1.34948,1.35011,1.35001,1.34776,-6.4,-1.2,sl
2026-05-14 10:40:00,2026-05-14 11:55:00,SHORT,1.35138,1.35022,1.35178,1.35011,11.7,2.94,tp
2026-05-14 13:35:00,2026-05-14 13:45:00,SHORT,1.34986,1.35044,1.35034,1.34835,-5.8,-1.22,sl
2026-05-14 15:40:00,2026-05-14 16:15:00,SHORT,1.34744,1.34579,1.34798,1.34569,16.4,3.01,tp
2026-05-14 17:20:00,2026-05-14 18:00:00,SHORT,1.34268,1.34081,1.3433,1.34071,18.7,3.03,tp
2026-05-15 09:40:00,2026-05-15 09:50:00,SHORT,1.3335,1.33418,1.33408,1.33168,-6.8,-1.18,sl
2026-05-15 14:00:00,2026-05-15 14:10:00,SHORT,1.33386,1.33461,1.33451,1.33176,-7.6,-1.16,sl
