entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-01-05 07:30:00,2026-01-05 08:15:00,SHORT,1.16881,1.16934,1.16926,1.16745,-5.3,-1.18,sl
2026-01-05 16:30:00,2026-01-05 17:00:00,SHORT,1.17084,1.17161,1.17153,1.16876,-7.7,-1.12,sl
2026-01-06 07:15:00,2026-01-06 07:45:00,SHORT,1.17362,1.17259,1.17399,1.17251,10.3,2.78,tp
2026-01-06 14:15:00,2026-01-06 15:00:00,SHORT,1.17121,1.16952,1.1718,1.16944,16.9,2.86,tp
2026-01-07 10:45:00,2026-01-07 14:45:00,SHORT,1.16894,1.16946,1.16938,1.16761,-5.2,-1.18,sl
2026-01-08 06:00:00,2026-01-08 08:15:00,SHORT,1.16806,1.16742,1.1683,1.16734,6.4,2.67,tp
2026-01-08 11:00:00,2026-01-08 13:30:00,SHORT,1.16783,1.16674,1.16822,1.16666,10.9,2.8,tp
2026-01-09 07:15:00,2026-01-09 07:30:00,LONG,1.16449,1.16411,1.16419,1.16539,-3.8,-1.27,sl
2026-01-09 13:45:00,2026-01-09 14:15:00,SHORT,1.16547,1.16379,1.16606,1.16371,16.8,2.86,tp
2026-01-12 08:00:00,2026-01-12 08:45:00,SHORT,1.16829,1.16892,1.16884,1.16665,-6.3,-1.15,sl
2026-01-12 13:45:00,2026-01-12 16:45:00,SHORT,1.16905,1.16723,1.16968,1.16715,18.2,2.87,tp
2026-01-13 05:30:00,2026-01-13 06:00:00,SHORT,1.16649,1.1656,1.16681,1.16552,8.9,2.75,tp
2026-01-13 10:15:00,2026-01-13 12:45:00,SHORT,1.167,1.16581,1.16742,1.16573,11.9,2.81,tp
2026-01-14 07:15:00,2026-01-14 09:15:00,SHORT,1.16476,1.16509,1.16501,1.164,-3.3,-1.31,sl
2026-01-14 10:45:00,2026-01-14 12:45:00,SHORT,1.16526,1.16571,1.16563,1.16414,-4.5,-1.21,sl
2026-01-15 10:30:00,2026-01-15 12:45:00,SHORT,1.1637,1.16264,1.16408,1.16256,10.6,2.79,tp
2026-01-15 13:30:00,2026-01-15 13:45:00,LONG,1.1619,1.16138,1.16146,1.16321,-5.2,-1.18,sl
2026-01-16 11:30:00,2026-01-16 11:45:00,SHORT,1.16178,1.16223,1.16215,1.16068,-4.5,-1.22,sl
2026-01-16 15:15:00,2026-01-16 15:30:00,SHORT,1.16232,1.16115,1.16274,1.16107,11.7,2.81,tp
2026-01-19 12:45:00,2026-01-19 14:30:00,SHORT,1.16302,1.16358,1.1635,1.16158,-5.6,-1.17,sl
