entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-06 06:15:00,2026-04-06 09:00:00,SHORT,69264.65,69442.38962,69424.88962,68783.93115,-1777396.2,-1.11,sl
2026-04-06 15:45:00,2026-04-06 16:00:00,SHORT,69778.8,70016.33117,69998.83117,69118.7065,-2375311.7,-1.08,sl
2026-04-07 09:45:00,2026-04-07 10:15:00,SHORT,69139.75,68699.15925,69292.44692,68681.65925,4405907.5,2.89,tp
2026-04-07 13:45:00,2026-04-07 17:30:00,SHORT,68292.85,68516.07749,68498.57749,67675.66752,-2232274.9,-1.09,sl
2026-04-08 05:30:00,2026-04-08 06:15:00,SHORT,71672.15,71908.92023,71891.42023,71014.33931,-2367702.3,-1.08,sl
2026-04-08 12:45:00,2026-04-08 13:00:00,SHORT,71892.25,72081.67175,72064.17175,71376.48474,-1894217.5,-1.1,sl
2026-04-09 10:00:00,2026-04-09 13:30:00,SHORT,71501.55,71012.29362,71670.46879,70994.79362,4892563.8,2.9,tp
2026-04-09 17:30:00,2026-04-09 21:00:00,SHORT,72294.25,72596.48328,72578.98328,71440.05016,-3022332.8,-1.06,sl
2026-04-10 12:45:00,2026-04-10 14:00:00,SHORT,72269.75,72452.11997,72434.61997,71775.14009,-1823699.7,-1.11,sl
2026-04-10 16:30:00,2026-04-10 16:45:00,SHORT,72733.75,73007.08133,72989.58133,71966.25601,-2733313.3,-1.07,sl
2026-04-11 13:15:00,2026-04-11 13:30:00,SHORT,72559.15,72680.64272,72663.14272,72247.17185,-1214927.2,-1.17,sl
2026-04-11 16:45:00,2026-04-11 18:15:00,SHORT,73077.45,73208.73688,73191.23688,72736.08935,-1312868.8,-1.15,sl
2026-04-12 13:00:00,2026-04-12 14:45:00,SHORT,71034.95,70695.46242,71153.94586,70677.96242,3394875.8,2.85,tp
2026-04-13 15:00:00,2026-04-13 15:30:00,SHORT,72353.35,71667.88287,72587.67238,71650.38287,6854671.3,2.93,tp
2026-04-13 18:00:00,2026-04-13 18:30:00,SHORT,72102.95,72376.71407,72359.21407,71334.15778,-2737640.7,-1.07,sl
2026-04-14 14:30:00,2026-04-14 14:45:00,SHORT,75813.25,75188.898,76027.20067,75171.398,6243520.0,2.92,tp
2026-04-15 15:30:00,2026-04-15 18:00:00,SHORT,73981.95,74246.48158,74228.98158,73240.85527,-2645315.8,-1.07,sl
2026-04-16 04:45:00,2026-04-16 10:00:00,SHORT,75058.85,74476.59494,75258.76835,74459.09494,5822550.6,2.91,tp
2026-04-16 13:30:00,2026-04-16 13:45:00,SHORT,74925.15,74485.95947,75077.38018,74468.45947,4391905.3,2.89,tp
2026-04-17 09:15:00,2026-04-17 09:30:00,SHORT,75859.45,76052.23896,76034.73896,75333.58313,-1927889.6,-1.1,sl
2026-04-17 14:00:00,2026-04-17 14:15:00,SHORT,77298.75,77675.3135,77657.8135,76221.55951,-3765635.0,-1.05,sl
2026-04-18 17:15:00,2026-04-19 06:15:00,SHORT,75785.35,75280.41375,75959.49542,75262.91375,5049362.5,2.9,tp
2026-04-19 11:30:00,2026-04-19 11:45:00,SHORT,75333.15,75493.27614,75475.77614,74905.27159,-1601261.4,-1.12,sl
2026-04-19 15:15:00,2026-04-19 15:30:00,SHORT,75969.55,75441.9387,76151.25377,75424.4387,5276113.0,2.9,tp
2026-04-20 10:15:00,2026-04-20 12:15:00,SHORT,75294.85,75543.35755,75525.85755,74601.82734,-2485075.5,-1.08,sl
2026-04-20 14:30:00,2026-04-20 15:00:00,SHORT,75528.45,74714.1513,75805.71623,74696.6513,8142987.0,2.94,tp
2026-04-21 07:30:00,2026-04-21 08:15:00,SHORT,76143.65,76316.77105,76299.27105,75676.78684,-1731210.5,-1.11,sl
2026-04-21 11:30:00,2026-04-21 12:30:00,SHORT,76623.85,75997.49073,76838.46976,75979.99073,6263592.7,2.92,tp
2026-04-22 13:45:00,2026-04-22 14:00:00,SHORT,78562.15,78765.38097,78747.88097,78004.9571,-2032309.7,-1.09,sl
2026-04-22 16:45:00,2026-04-22 18:45:00,SHORT,78766.3,79027.94045,79010.44045,78033.87864,-2616404.5,-1.07,sl
2026-04-23 08:45:00,2026-04-23 10:00:00,SHORT,77702.15,77198.92727,77875.72424,77181.42727,5032227.3,2.9,tp
2026-04-23 16:00:00,2026-04-23 17:15:00,SHORT,78339.45,77653.37088,78573.97637,77635.87088,6860791.2,2.93,tp
2026-04-24 08:00:00,2026-04-24 08:15:00,SHORT,77614.25,77786.9714,77769.4714,77148.5858,-1727214.0,-1.11,sl
2026-04-24 12:15:00,2026-04-24 13:00:00,SHORT,78270.65,78455.56233,78438.06233,77768.413,-1849123.3,-1.1,sl
2026-04-25 10:45:00,2026-04-25 12:30:00,SHORT,77772.25,77575.89663,77843.53446,77558.39663,1963533.7,2.75,tp
2026-04-25 15:15:00,2026-04-25 15:30:00,SHORT,77628.35,77711.85837,77694.35837,77430.3249,-835083.7,-1.27,sl
2026-04-26 09:00:00,2026-04-26 11:15:00,SHORT,77987.85,78098.13869,78080.63869,77709.48393,-1102886.9,-1.19,sl
