entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-07 10:00:00,2026-04-07 10:30:00,SHORT,1.32634,1.3238,1.32723,1.32369,25.5,2.88,tp
2026-04-08 08:30:00,2026-04-08 09:00:00,SHORT,1.34188,1.34318,1.34307,1.33832,-12.9,-1.09,sl
2026-04-09 09:00:00,2026-04-09 09:15:00,SHORT,1.34016,1.34098,1.34087,1.33801,-8.2,-1.15,sl
2026-04-15 05:30:00,2026-04-15 06:45:00,SHORT,1.35696,1.35585,1.35745,1.35574,11.2,2.28,tp
2026-04-15 15:30:00,2026-04-16 02:45:00,SHORT,1.35742,1.3585,1.3584,1.35499,-10.8,-1.11,sl
2026-04-16 04:30:00,2026-04-16 06:30:00,SHORT,1.35772,1.35644,1.35828,1.35633,12.9,2.31,tp
2026-04-16 11:15:00,2026-04-16 14:15:00,SHORT,1.35496,1.35311,1.35575,1.353,18.6,2.37,tp
2026-04-20 07:15:00,2026-04-20 08:15:00,SHORT,1.35102,1.34944,1.3517,1.34933,15.9,2.34,tp
2026-04-21 06:15:00,2026-04-21 07:00:00,SHORT,1.35244,1.3515,1.35287,1.35139,9.5,2.25,tp
2026-04-23 09:45:00,2026-04-23 10:45:00,SHORT,1.35048,1.34886,1.35116,1.34876,16.1,2.35,tp
2026-04-23 15:00:00,2026-04-23 16:00:00,SHORT,1.35082,1.34877,1.35169,1.34866,20.6,2.38,tp
2026-04-28 04:45:00,2026-04-28 05:30:00,SHORT,1.35318,1.35235,1.35355,1.35224,8.3,2.22,tp
2026-04-29 15:00:00,2026-04-29 16:45:00,SHORT,1.34998,1.34801,1.3508,1.34791,19.6,2.37,tp
2026-05-04 06:15:00,2026-05-04 07:00:00,SHORT,1.35938,1.35757,1.36001,1.35747,18.0,2.83,tp
2026-05-04 14:30:00,2026-05-04 15:15:00,SHORT,1.35632,1.35326,1.35737,1.35315,30.6,2.9,tp
2026-05-05 13:15:00,2026-05-05 14:00:00,SHORT,1.35514,1.35616,1.35606,1.35241,-10.2,-1.12,sl
2026-05-07 15:00:00,2026-05-07 16:00:00,SHORT,1.36282,1.36042,1.36365,1.36031,24.0,2.87,tp
2026-05-12 09:30:00,2026-05-12 10:15:00,SHORT,1.35334,1.3545,1.35439,1.34999,-11.5,-1.1,sl
2026-05-13 15:45:00,2026-05-14 11:45:00,SHORT,1.35242,1.34968,1.35331,1.34958,27.4,3.08,tp
2026-05-19 12:30:00,2026-05-19 13:00:00,SHORT,1.34136,1.34008,1.33998,1.33941,12.8,1.64,trail
2026-05-19 17:15:00,2026-05-19 20:45:00,SHORT,1.34092,1.33978,1.33967,1.33881,11.4,1.35,trail
2026-05-20 04:15:00,2026-05-20 04:30:00,SHORT,1.34012,1.33943,1.33933,1.33867,6.8,1.18,trail
2026-05-22 16:30:00,2026-05-22 17:30:00,SHORT,1.34428,1.34518,1.34508,1.34227,-9.1,-1.13,sl
2026-05-29 06:15:00,2026-05-29 07:00:00,SHORT,1.34416,1.3434,1.3433,1.3431,7.6,1.79,trail
2026-06-01 17:45:00,2026-06-01 21:00:00,SHORT,1.34646,1.34529,1.34518,1.34392,11.8,1.16,trail
2026-06-02 14:45:00,2026-06-02 16:30:00,SHORT,1.34764,1.34696,1.34685,1.34606,6.9,1.08,trail
2026-06-03 11:15:00,2026-06-03 12:30:00,SHORT,1.34522,1.34317,1.34306,1.34346,20.6,2.91,trail
2026-06-04 06:15:00,2026-06-04 07:15:00,SHORT,1.34302,1.34207,1.34196,1.34179,9.5,1.94,trail
2026-06-05 04:45:00,2026-06-05 06:30:00,SHORT,1.34272,1.34319,1.34309,1.34182,-4.7,-1.29,sl
2026-06-08 04:30:00,2026-06-08 05:45:00,SHORT,1.33424,1.33293,1.33283,1.33258,13.0,1.97,trail
2026-06-11 04:45:00,2026-06-11 07:15:00,SHORT,1.3382,1.33884,1.33873,1.33688,-6.3,-1.2,sl
2026-06-12 15:30:00,2026-06-14 21:00:00,SHORT,1.34206,1.34068,1.34057,1.33937,13.8,1.28,trail
2026-06-15 13:30:00,2026-06-15 18:30:00,SHORT,1.34368,1.34204,1.34439,1.34193,16.5,2.35,tp
2026-06-17 13:00:00,2026-06-17 14:30:00,SHORT,1.34128,1.33991,1.34186,1.3398,13.7,2.32,tp
2026-06-17 18:00:00,2026-06-17 18:15:00,SHORT,1.3398,1.33835,1.34041,1.33825,14.4,2.33,tp
2026-06-18 06:30:00,2026-06-18 07:00:00,SHORT,1.33222,1.33045,1.33296,1.33035,17.6,2.36,tp
2026-06-18 12:30:00,2026-06-18 17:45:00,SHORT,1.32414,1.32093,1.32547,1.32082,32.2,2.42,tp
2026-06-19 17:45:00,2026-06-21 21:00:00,SHORT,1.3234,1.32154,1.32418,1.32144,18.5,2.37,tp
2026-06-22 09:45:00,2026-06-22 10:00:00,SHORT,1.32244,1.32354,1.32343,1.31997,-10.9,-1.11,sl
2026-06-23 07:30:00,2026-06-23 07:45:00,SHORT,1.32456,1.3224,1.3223,1.32307,21.5,3.63,trail
2026-06-24 15:30:00,2026-06-24 16:30:00,SHORT,1.31644,1.31762,1.31752,1.31373,-11.9,-1.1,sl
2026-06-30 07:00:00,2026-06-30 07:15:00,SHORT,1.324,1.3246,1.3245,1.32277,-6.0,-1.21,sl
2026-07-03 11:15:00,2026-07-03 13:00:00,SHORT,1.33612,1.33513,1.33502,1.3346,9.9,1.62,trail
2026-07-07 05:30:00,2026-07-07 05:45:00,SHORT,1.33794,1.33843,1.33833,1.33695,-5.0,-1.27,sl
2026-07-07 09:00:00,2026-07-07 10:00:00,SHORT,1.33892,1.33768,1.33947,1.33757,12.5,2.31,tp
2026-07-10 11:00:00,2026-07-10 12:45:00,SHORT,1.34306,1.3416,1.34369,1.34149,14.7,2.33,tp
2026-07-10 15:30:00,2026-07-10 18:00:00,SHORT,1.34178,1.33991,1.34256,1.3398,18.7,2.37,tp
2026-07-22 13:30:00,2026-07-22 13:45:00,SHORT,1.3375,1.33838,1.33827,1.33555,-8.8,-1.13,sl
2026-07-24 14:15:00,2026-07-24 14:45:00,SHORT,1.3323,1.33324,1.33314,1.33022,-9.4,-1.13,sl
2026-07-27 06:30:00,2026-07-27 07:00:00,SHORT,1.3356,1.33443,1.3361,1.33432,11.7,2.29,tp
2026-07-28 15:15:00,2026-07-28 15:30:00,SHORT,1.33,1.33088,1.33077,1.32808,-8.7,-1.14,sl
2026-07-29 05:15:00,2026-07-29 07:30:00,SHORT,1.32986,1.33043,1.33032,1.32868,-5.7,-1.22,sl
2026-07-29 08:45:00,2026-07-29 10:15:00,SHORT,1.33038,1.32905,1.33096,1.32894,13.4,2.32,tp
2026-07-31 09:00:00,2026-07-31 11:15:00,SHORT,1.34566,1.34343,1.3466,1.34333,22.3,2.39,tp
2026-08-03 12:00:00,2026-08-03 13:45:00,SHORT,1.34652,1.34512,1.34713,1.34501,14.1,2.33,tp
2026-08-06 08:45:00,2026-08-06 09:30:00,SHORT,1.34622,1.34533,1.34661,1.34523,8.8,2.23,tp
2026-08-06 12:45:00,2026-08-06 13:30:00,SHORT,1.34688,1.34747,1.34736,1.34566,-5.9,-1.22,sl
2026-08-07 12:00:00,2026-08-07 12:30:00,SHORT,1.34472,1.34525,1.34514,1.34368,-5.2,-1.25,sl
