entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2026-04-06 15:15:00,2026-04-06 21:45:00,SHORT,159.7645,159.5492,159.85482,159.5387,2153.0,2.38,tp
2026-04-07 11:00:00,2026-04-07 11:30:00,SHORT,159.7595,159.8548,159.8443,159.54749,-953.0,-1.12,sl
2026-04-07 15:00:00,2026-04-07 17:30:00,SHORT,159.9345,159.72249,160.0235,159.71199,2120.1,2.38,tp
2026-04-08 08:45:00,2026-04-08 12:30:00,SHORT,158.3895,158.0533,158.52818,158.0428,3362.0,2.42,tp
2026-04-08 15:15:00,2026-04-08 18:15:00,SHORT,158.4275,158.59476,158.58426,158.0356,-1672.6,-1.07,sl
2026-04-09 07:30:00,2026-04-09 08:00:00,SHORT,158.8965,158.98886,158.97836,158.69184,-923.6,-1.13,sl
2026-04-09 15:00:00,2026-04-09 15:30:00,SHORT,159.1675,158.93198,159.26591,158.92148,2355.2,2.39,tp
2026-04-10 08:00:00,2026-04-10 12:00:00,SHORT,159.3205,159.15946,159.38912,159.14896,1610.4,2.35,tp
2026-04-10 16:45:00,2026-04-12 21:00:00,SHORT,159.3255,159.41942,159.40892,159.11696,-939.2,-1.13,sl
2026-04-13 14:15:00,2026-04-13 14:45:00,LONG,159.5815,159.50703,159.51753,159.7862,-744.7,-1.16,sl
2026-04-14 05:15:00,2026-04-14 06:15:00,LONG,159.0375,159.21529,158.97866,159.22579,1777.9,3.02,tp
2026-04-14 14:30:00,2026-04-15 01:30:00,LONG,158.6765,158.95246,158.58698,158.96296,2759.6,3.08,tp
2026-04-15 06:00:00,2026-04-15 06:15:00,LONG,158.9625,158.90208,158.91258,159.12226,-604.2,-1.21,sl
2026-04-15 15:30:00,2026-04-15 16:15:00,LONG,158.9005,158.80431,158.81481,159.17471,-961.9,-1.12,sl
2026-04-16 13:30:00,2026-04-16 13:45:00,LONG,159.0305,159.24454,158.96033,159.25504,2140.4,3.05,tp
2026-04-16 16:30:00,2026-04-17 01:00:00,LONG,159.0965,159.36576,159.00908,159.37626,2692.6,3.08,tp
2026-04-17 09:15:00,2026-04-17 09:30:00,LONG,159.1725,159.10161,159.11211,159.36574,-708.9,-1.17,sl
