,equity
2023-09-13 23:00:00+00:00,10000.0
2023-09-22 07:00:00+00:00,10181.03782266092
2023-09-27 11:00:00+00:00,10359.748987271823
2023-09-28 09:00:00+00:00,10246.92392261583
2023-10-03 14:00:00+00:00,10431.774536358747
2023-10-04 09:00:00+00:00,10318.479784270698
2023-10-12 06:00:00+00:00,10503.756733854645
2023-10-13 10:00:00+00:00,10691.149614088086
2023-10-13 15:00:00+00:00,10884.468981511985
2023-10-17 16:00:00+00:00,11084.491067235855
2023-10-18 10:00:00+00:00,10962.348933905496
2023-10-23 14:00:00+00:00,11160.435666150184
2023-11-03 12:00:00+00:00,11355.310662185555
2023-11-06 21:00:00+00:00,11230.581200741442
2023-11-10 10:00:00+00:00,11105.627840016767
2023-11-21 16:00:00+00:00,10982.615161232807
2023-11-24 12:00:00+00:00,10865.089424767346
2023-12-04 14:00:00+00:00,11064.679430568762
2023-12-05 16:00:00+00:00,11268.408123443924
2023-12-07 17:00:00+00:00,11145.321437561313
2023-12-19 12:00:00+00:00,11353.889119751248
2023-12-20 20:00:00+00:00,11235.140600921897
2023-12-25 22:00:00+00:00,11113.847941557915
2024-01-18 00:00:00+00:00,10992.920369423853
2024-01-25 14:00:00+00:00,10873.141536676849
2024-01-26 10:00:00+00:00,10755.227071419073
