,entry_time,exit_time,side,entry,exit,lots,pnl,r_multiple,exit_reason,reason
0,2023-11-17 08:00:00+00:00,2023-12-05 16:00:00+00:00,buy,1.0870665010070801,1.0788395262444899,0.06,-50.08184857554223,-1.0016369715108446,stop_loss,h4_native_buy
1,2023-12-21 08:00:00+00:00,2023-12-28 08:00:00+00:00,buy,1.0984075959777833,1.1136671110411887,0.06,90.8370903804317,1.9125245737059806,take_profit,h4_native_buy
2,2023-12-29 08:00:00+00:00,2024-01-02 08:00:00+00:00,buy,1.108020513877869,1.1007452367260862,0.07,-51.76694006248019,-0.9947956634396647,stop_loss,h4_native_buy
3,2024-01-22 12:00:00+00:00,2024-02-05 08:00:00+00:00,sell,1.0887401405715942,1.0768068988407764,0.08,94.50593384654137,1.911163836418285,take_profit,h4_native_sell
4,2024-02-07 08:00:00+00:00,2024-02-20 12:00:00+00:00,sell,1.077360064163208,1.083891569796607,0.08,-53.21204506719279,-0.9822303307090237,stop_loss,h4_native_sell
5,2024-03-12 08:00:00+00:00,2024-03-14 12:00:00+00:00,buy,1.093842833862305,1.088854153867964,0.1,-51.086799943411556,-0.9917049991428087,stop_loss,h4_native_buy
6,2024-05-14 08:00:00+00:00,2024-05-15 16:00:00+00:00,buy,1.079673856124878,1.087839385165307,0.12,96.5463484851467,1.9719526749022604,take_profit,h4_native_buy
7,2024-05-20 20:00:00+00:00,2024-05-22 16:00:00+00:00,buy,1.0864761766052247,1.082148610744169,0.13,-57.818356193726245,-1.0749486441617686,stop_loss,h4_native_buy
8,2024-06-13 12:00:00+00:00,2024-07-11 08:00:00+00:00,sell,1.0757372681045532,1.0856741986811946,0.05,-50.28465288320786,-0.9879850238127653,stop_loss,h4_native_sell
9,2024-08-06 12:00:00+00:00,2024-08-19 20:00:00+00:00,buy,1.0930061038589478,1.1090718233443613,0.06,95.67431691248015,1.9774801059029359,take_profit,h4_native_buy
10,2024-08-22 20:00:00+00:00,2024-08-30 12:00:00+00:00,buy,1.1120860274887086,1.1057941923533805,0.09,-57.70651621795339,-1.0854097273844998,stop_loss,h4_native_buy
